,Day of Sighting,State,City,Summary,Date,code,Direction,Time,Authority Advised,Route,Location,Altitude,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
3190,,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/0951E/MIAMI TRACON ADVISED, B737, MDW - FLL, REPORTED A WHITE-BLACK UAS FROM THE RIGHT SIDE WHILE E BOUND AT 5,000 FEET 5 NE FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF NOTIFIED.",2023-04-22,FLL,E BOUND,0951E,MIAMI TRACON,MDW - FLL,5 NE FLL,"AT 5,000 FEET",KFLL,large_airport,Fort Lauderdale Hollywood International Airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702"
3191,,MAINE,AUGUSTA,"PRELIM INFO FROM FAA OPS: AUGUSTA, ME/UAS SIGHTING/1145E/PORTLAND ATCT ADVISED,  AGUSTA A109, REPORTED UAS WITH A BLUE LIGHT 500 FEET FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 3,000 FEET OVER AUG. NO EVASIVE ACTION TAKEN. AUGUSTA PD NOTIFIED.",2023-04-22,AUG,E BOUND,1145E,PORTLAND ATCT,,,"AT 3,000 FEET",KAUG,medium_airport,Augusta State Airport,352.0,,US,US-ME,Augusta,KAUG,AUG,KAUG,AUG,"44.320598602299995, -69.7973022461"
3192,,CALIFORNIA,CAMARILLO,"PRELIM INFO FROM FAA OPS: CAMARILLO, CA/UAS SIGHTING/LATE REPORT-1126P/CAMARILLO ATCT ADVISED, CIRRUS SR20, SMO - SMO, REPORTED A UAS FROM 200 FEET ABOVE THE 12 O'CLOCK POSITION WHILE E BOUND AT 3,500 FEET 7 E CMA. NO EVASIVE ACTION TAKEN.  VENTURA COUNTY SHERIFF NOTIFIED.",2023-04-22,SMO,E BOUND,,CAMARILLO ATCT,SMO - SMO,7 E CMA,"AT 3,500 FEET",KSMO,medium_airport,Santa Monica Municipal Airport,170.0,,US,US-CA,Santa Monica,KSMO,SMO,KSMO,SMO,"34.0158, -118.450996"
3193,,CALIFORNIA,SAN FRANCISCO,"PRELIM INFO FROM FAA OPS: SAN FRANCISCO, CA/UAS SIGHTING/1255P/NORCAL TRACON ADVISED, A35K, DOHA, QATAR (OTHH) - SFO, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE SE BOUND AT 9,000 FEET 7 SSE SFO. NO EVASIVE ACTION TAKEN. SAN MATEO PD NOTIFIED.",2023-04-22,SAN,SE BOUND,1255P,NORCAL TRACON,"DOHA, QATAR (OTHH) - SFO",7 SSE SFO,"AT 9,000 FEET",KSAN,large_airport,San Diego International Airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441"
3194,,FLORIDA,FORT MYERS,"PRELIM INFO FROM FAA OPS: FORT MYERS, FL/UAS SIGHTING/1624E/FORT MYERS ATCT ADVISED, B737, DAL - RSW, REPORTED A BLACK QUAD-ROTOR UAS FROM THE 9 O'CLOCK POSITION WHILE NE BOUND AT 2,300 FEET 6 E RSW. NO EVASIVE ACTION TAKEN. LEE COUNTY SHERIFF NOTIFIED.",2023-04-22,RSW,NE BOUND,1624E,FORT MYERS ATCT,DAL - RSW,6 E RSW,"AT 2,300 FEET",KRSW,large_airport,Southwest Florida International Airport,30.0,,US,US-FL,Fort Myers,KRSW,RSW,KRSW,RSW,"26.53619956970215, -81.75520324707031"
3195,,TENNESSEE,MEMPHIS,"PRELIM INFO FROM FAA OPS: MEMPHIS, TN/UAS SIGHTING/1617C/MEMPHIS TRACON ADVISED, A306, MEM - GSO, REPORTED A UAS 300 FEET BELOW THE ACFT WHILE ESE BOUND AT 8,300 FEET 11 NE MEM. NO EVASIVE ACTION TAKEN. MEMPHIS PD NOTIFIED.",2023-04-22,GSO,ESE BOUND,1617C,MEMPHIS TRACON,MEM - GSO,11 NE MEM,"AT 8,300 FEET",KGSO,medium_airport,Piedmont Triad International Airport,925.0,,US,US-NC,Greensboro,KGSO,GSO,KGSO,GSO,"36.097801, -79.937302"
3196,,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS SIGHTING/1805E/ORLANDO ATCT ADVISED, B738, MCO - BUF, REPORTED A SILVER UAS WHILE SW BOUND AT 1,000 FEET 1 S MCO. NO EVASIVE ACTION TAKEN. ORANGE COUNTY SHERIFF AVIATION UNIT NOTIFIED.",2023-04-22,MCO,SW BOUND,1805E,ORLANDO ATCT,MCO - BUF,1 S MCO,"AT 1,000 FEET",KMCO,large_airport,Orlando International Airport,96.0,,US,US-FL,Orlando,KMCO,MCO,KMCO,MCO,"28.429399490356445, -81.30899810791016"
3197,,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS SIGHTING/0950E/ORLANDO ATCT ADVISED, A320, ALB - MCO, REPORTED A WHITE QUADCOPTER UAS FROM THE 3 O'CLOCK POSITION WHILE N BOUND AT 900 FEET ON 2 MILE FINAL RUNWAY 35L MCO. NO EVASIVE ACTION TAKEN. OSCEOLA COUNTY SHERIFF NOTIFIED.",2023-04-23,MCO,N BOUND,0950E,ORLANDO ATCT,ALB - MCO,,AT 900 FEET,KMCO,large_airport,Orlando International Airport,96.0,,US,US-FL,Orlando,KMCO,MCO,KMCO,MCO,"28.429399490356445, -81.30899810791016"
3198,,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1527E/ATLANTA TRACON ADVISED, CRJ9, TRI - ATL, REPORTED A UAS 100 FEET ABOVE THE ACFT AT THE 3 O'CLOCK POSITION WHILE E BOUND AT 6,000 FEET 18 NNE ATL. NO EVASIVE ACTION TAKEN. COBB COUNTY PD NOTIFIED.",2023-04-23,ATL,E BOUND,1527E,ATLANTA TRACON,TRI - ATL,18 NNE ATL,"AT 6,000 FEET",KATL,large_airport,Hartsfield Jackson Atlanta International Airport,1026.0,,US,US-GA,Atlanta,KATL,ATL,KATL,ATL,"33.6367, -84.428101"
3199,,FLORIDA,SARASOTA/BRADENTON,"PRELIM INFO FROM FAA OPS: SARASOTA/BRADENTON, FL/UAS SIGHTING/1545E/SARASOTA ATCT ADVISED, B738, DFW - SRQ, REPORTED A UAS 50 FEET ABOVE THE ACFT AT THE 3 O'CLOCK POSITION WHILE SE BOUND AT 300 FEET VCNTY SRQ. NO EVASIVE ACTION TAKEN. MANATEE COUNTY SHERIFF NOTIFIED.",2023-04-23,DFW,SE BOUND,1545E,SARASOTA ATCT,DFW - SRQ,,AT 300 FEET,KDFW,large_airport,Dallas Fort Worth International Airport,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,KDFW,DFW,"32.896801, -97.038002"
3200,,WISCONSIN,LA CROSSE,"PRELIM INFO FROM FAA OPS: LA CROSSE, WI/UAS SIGHTING/1450C/LA CROSSE ATCT ADVISED, CRJ9, MSP - LSE, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE N BOUND AT 2,000 FEET 4 S LSE. NO EVASIVE ACTION TAKEN. LA CROSSE PD NOTIFIED.",2023-04-23,LSE,N BOUND,1450C,LA CROSSE ATCT,MSP - LSE,4 S LSE,"AT 2,000 FEET",KLSE,medium_airport,La Crosse Regional Airport,655.0,,US,US-WI,La Crosse,KLSE,LSE,KLSE,LSE,"43.879002, -91.256699"
3201,,FLORIDA,NAPLES,"PRELIM INFO FROM FAA OPS: NAPLES, FL/UAS SIGHTING/1621E/FORT MYERS ATCT ADVISED, GULFSTREAM G280, APF - FLL, REPORTED A UAS 1,000 FEET BELOW THE ACFT AT THE 12 O'CLOCK POSITION WHILE WSW BOUND AT 2,000 FEET14 ENE APF. NO EVASIVE ACTION TAKEN. COLLIER COUNTY SHERIFF NOTIFIED.",2023-04-23,FLL,WSW BOUND,1621E,FORT MYERS ATCT,APF - FLL,,,KFLL,large_airport,Fort Lauderdale Hollywood International Airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702"
3202,,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS SIGHTING/1556P/SEATTLE APCH ADVISED, B737, KTN - SEA, REPORTED A SMALL GREY UAS AT THE 2 O'CLOCK POSITION WHILE E BOUND AT 6,000 FEET 20 NW SEA. NO EVASIVE ACTION TAKEN. PORT OF SEATTLE NOTIFIED.",2023-04-23,SEA,E BOUND,1556P,SEATTLE APCH,KTN - SEA,20 NW SEA,"AT 6,000 FEET",KSEA,large_airport,Seattle–Tacoma International Airport,433.0,,US,US-WA,Seattle,KSEA,SEA,KSEA,SEA,"47.447943, -122.310276"
3203,,COLORADO,DENVER,"PRELIM INFO FROM FAA OPS: DENVER, CO/UAS SIGHTING/1657M/DENVER TRACON ADVISED, CESSNA C172, REPORTED A UAS 1,000 FEET BELOW WHILE S BOUND AT 8,200 FEET 23 SW DEN. NO EVASIVE ACTION TAKEN. DIA OPS NOTIFIED.",2023-04-23,DEN,S BOUND,1657M,DENVER TRACON,,23 SW DEN,"AT 8,200 FEET",KDEN,large_airport,Denver International Airport,5431.0,,US,US-CO,Denver,KDEN,DEN,KDEN,DEN,"39.861698150635, -104.672996521"
3204,,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS SIGHTING/2002E/MIAMI TRACON ADVISED, B763, KINGSTON, JAMAICA (MKJP) - MIA, REPORTED A UAS WHILE W BOUND AT 8,000 FEET 5 S MIA. NO EVASIVE ACTION TAKEN. MIAMI-DADE PD NOTIFIED.",2023-04-23,MIA,W BOUND,2002E,MIAMI TRACON,"KINGSTON, JAMAICA (MKJP) - MIA",5 S MIA,"AT 8,000 FEET",KMIA,large_airport,Miami International Airport,8.0,,US,US-FL,Miami,KMIA,MIA,KMIA,MIA,"25.79319953918457, -80.29060363769531"
3205,,MICHIGAN,DETROIT,"PRELIM INFO FROM FAA OPS: DETROIT, MI/UAS SIGHTING/0915E/DETRIOT TRACON ADVISED, B739, BNA - DTW, PRELIM INFO FROM FAA OPS: DETROIT, MI/UAS SIGHTING/0915E/DETRIOT TRACON ADVISED , B739, BNA - DTW, REPORTED A WHITE UAS 1,000 FEET LATERALLY AT THE 3 O'CLOCK POSITION WHILE SSW BOUND AT 3,000 FEET 9 NNE DETROIT VORTAC (DXO). NO EVASIVE ACTION TAKEN. WAYNE COUNTY SHERIFF NOTIFIED.",2023-04-24,BNA,SSW BOUND,0915E,DETRIOT TRACON,BNA - DTW,9 NNE DETROIT VORTAC (DXO),"AT 3,000 FEET",KBNA,large_airport,Nashville International Airport,599.0,,US,US-TN,Nashville,KBNA,BNA,KBNA,BNA,"36.1245, -86.6782"
3206,,NORTH CAROLINA,FAYETTEVILLE,"PRELIM INFO FROM FAA OPS: FAYETTEVILLE, NC/UAS SIGHTING/1300E/FAYETTEVILLE ATCT ADVISED, BEECH BE36, REPORTED A SILVER UAS 500 FEET BELOW FROM THE 2 O'CLOCK POSITION WHILE NE BOUND AT 5,000 FEET 5 S FAY. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION REPORTED.",2023-04-24,FAY,NE BOUND,1300E,FAYETTEVILLE ATCT,,5 S FAY,"AT 5,000 FEET",KFAY,medium_airport,Fayetteville Regional Airport - Grannis Field,189.0,,US,US-NC,Fayetteville,KFAY,FAY,KFAY,FAY,"34.991199, -78.880302"
3207,,CALIFORNIA,VAN NUYS,"PRELIM INFO FROM FAA OPS: VAN NUYS, CA/UAS SIGHTING/1115P/ ADVISED, DIAMOND DA42, VNY - VNY, REPORTED A WHITE UAS WHILE N BOUND AT 1,000 FEET 1 NW VNY.  NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2023-04-24,VNY,N BOUND,1115P,,VNY - VNY,1 NW VNY,"AT 1,000 FEET",KVNY,medium_airport,Van Nuys Airport,802.0,,US,US-CA,Van Nuys,KVNY,VNY,KVNY,VNY,"34.209800720215, -118.48999786377"
3208,,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS SIGHTING/1515E/MIAMI ATCT ADVISED, A320, BDL - MIA, REPORTED A SILVER UAS WHILE WNW BOUND AT 5,000 FEET 3 N MIA. NO EVASIVE ACTION TAKEN. MIAMI DADE PD NOTIFIED.",2023-04-24,BDL,WNW BOUND,1515E,MIAMI ATCT,BDL - MIA,3 N MIA,"AT 5,000 FEET",KBDL,large_airport,Bradley International Airport,173.0,,US,US-CT,Hartford,KBDL,BDL,KBDL,BDL,"41.93851, -72.688066"
3209,,ARIZONA,GLENDALE,"PRELIM INFO FROM FAA OPS: GLENDALE, AZ/UAS SIGHTING/1527M/LUKE AFB ADVISED, F/16, REPORTED A WHITE/GREY UAS WHILE S BOUND AT 3,600 FEET 5 N LUF. NO EVASIVE ACTION TAKEN. SECURITY FORCES NOTIFIED.",2023-04-24,LUF,S BOUND,1527M,LUKE AFB,,5 N LUF,"AT 3,600 FEET",KLUF,medium_airport,Luke Air Force Base,1085.0,,US,US-AZ,Glendale,KLUF,LUF,KLUF,LUF,"33.535, -112.383003"
3210,,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1239E/ATLANTA ATCT ADVISED, B712, EWR - ATL, REPORTED A WHITE UAS 1,000 FEET BELOW THE ACFT WHILE EAST BOUND AT 1,500 FEET 1.3 W ATL. NO EVASIVE ACTION TAKEN. COLLEGE PARK PD NOTIFIED.",2023-04-25,ATL,EAST BOUND,1239E,ATLANTA ATCT,EWR - ATL,,"AT 1,500 FEET",KATL,large_airport,Hartsfield Jackson Atlanta International Airport,1026.0,,US,US-GA,Atlanta,KATL,ATL,KATL,ATL,"33.6367, -84.428101"
3211,,MINNESOTA,MINNEAPOLIS,"PRELIM INFO FROM FAA OPS: MINNEAPOLIS, MN/UAS SIGHTING/1427C/MINNEAPOLIS TRACON ADVISED, A320, MSP - GRR, REPORTED A BLACK UAS WHILE SE BOUND AT 4,000 FEET 10 SE MSP. NO EVASIVE ACTION TAKEN. DAKOTA COUNTY DISPATCH NOTIFIED.",2023-04-25,GRR,SE BOUND,1427C,MINNEAPOLIS TRACON,MSP - GRR,10 SE MSP,"AT 4,000 FEET",KGRR,medium_airport,Gerald R. Ford International Airport,794.0,,US,US-MI,Grand Rapids,KGRR,GRR,KGRR,GRR,"42.88079834, -85.52279663"
3212,,ALASKA,BIG LAKE,"PRELIM INFO FROM FAA OPS: BIG LAKE, AK/UAS SIGHTING/1140L/ANCHORAGE TRACON ADVISED, CESSNA C172, REPORTED A UAS WHILE E BOUND AT 1,500 FEET 15 E BGQ. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2023-04-26,BIG,E BOUND,1140L,ANCHORAGE TRACON,,15 E BGQ,"AT 1,500 FEET",PABI,medium_airport,Allen Army Airfield,1291.0,,US,US-AK,Delta Junction Ft Greely,PABI,BIG,PABI,BIG,"63.9944992065, -145.722000122"
3213,,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS SIGHTING/1649E/MIAMI ARTCC ADVISED, CESSNA C182, UNKN - TMB, REPORTED A WHITE/GREEN UAS FROM THE 3 O'CLOCK POSITION WHILE W BOUND AT 8,300 FEET 53 ESE DOLPHIN VOR. NO EVASIVE ACTION TAKEN. NO LAW ENFORCEMENT NOTIFICATION REPORTED.",2023-04-26,TMB,W BOUND,1649E,MIAMI ARTCC,UNKN - TMB,53 ESE DOLPHIN VOR,"AT 8,300 FEET",KTMB,medium_airport,Miami Executive Airport,8.0,,US,US-FL,Miami,KTMB,TMB,KTMB,TMB,"25.6479, -80.4328"
3215,,KENTUCKY,COVINGTON,"PRELIM INFO FROM FAA OPS: COVINGTON, KY/UAS SIGHTING/1233E/ CINCINNATI/NORTHERN KENTUCKY ATCT ADVISED, B763, AUS - CVG, REPORTED A BLUE UAS FROM THE 9 O'CLOCK POSITION WHILE E BOUND AT 12,000 FEET VCNTY OF WILLOW RUN ARPT.  NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTE.",2023-04-27,AUS,E BOUND,1233E,NORTHERN KENTUCKY ATCT,AUS - CVG,,"AT 12,000 FEET",KAUS,large_airport,Austin Bergstrom International Airport,542.0,,US,US-TX,Austin,KAUS,AUS,KAUS,AUS,"30.197535, -97.662015"
3216,,INDIANA,LAFAYETTE,"PRELIM INFO FROM FAA OPS: LAFAYETTE, IN/UAS SIGHTING/1242E/LAFAYETTE ATCT ADVISED, III SKAR, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE E BOUND AT 1,000 FEET 2 W LAF. NO EVASIVE ACTION TAKEN. TIPPECANOE COUNTY SHERIFF DEPARTMENT NOTIFIED.",2023-04-27,LAF,E BOUND,1242E,LAFAYETTE ATCT,,2 W LAF,"AT 1,000 FEET",KLAF,medium_airport,Purdue University Airport,606.0,,US,US-IN,West Lafayette,KLAF,LAF,KLAF,LAF,"40.412875, -86.939363"
3217,,FLORIDA,WEST PALM BEACH,"PRELIM INFO FROM FAA OPS: WEST PALM BEACH, FL/UAS SIGHTING/1255E/PALM BEACH ATCT ADVISED, CESSNA C56X, GYY - PBI, REPORTED A ORANGE UAS FROM THE 9 O'CLOCK POSITION WHILE S BOUND AT 1,600 FEET 5 WSW PBI. NO EVASIVE ACTION REPORTED. PALM BEACH COUNTY SHERIFF NOTIFIED.",2023-04-27,PBI,S BOUND,1255E,PALM BEACH ATCT,GYY - PBI,5 WSW PBI,"AT 1,600 FEET",KPBI,large_airport,Palm Beach International Airport,19.0,,US,US-FL,West Palm Beach,KPBI,PBI,KPBI,PBI,"26.683201, -80.095596"
3218,,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS SIGHTING/1401E/CHARLESTON ATCT ADVISED, BEECH BE20, REPORTED A WHITE UAS WHILE N BOUND AT 400 FEET 2 NNE CHS. NO EVASIVE ACTION TAKEN. CCAA PD NOTIFIED.",2023-04-27,CHS,N BOUND,1401E,CHARLESTON ATCT,,2 NNE CHS,AT 400 FEET,KCHS,medium_airport,Charleston International Airport,46.0,,US,US-SC,Charleston,KCHS,CHS,KCHS,CHS,"32.898602, -80.040497"
3219,,MARYLAND,CAMP SPRINGS,"PRELIM INFO FROM FAA OPS: CAMP SPRINGS, MD/UAS SIGHTING/1410E/JOINT BASE ANDREWS ADVISED, B747, REPORTED A UAS FROM THE 4 O'CLOCK POSITION WHILE S BOUND AT 1,800 FEET 1 SE ADW. NO EVASIVE ACTION TAKEN. BASE DEFENSE OPERATIONS CENTER NOTIFIED.",2023-04-27,ADW,S BOUND,1410E,JOINT BASE ANDREWS,,1 SE ADW,"AT 1,800 FEET",KADW,large_airport,Joint Base Andrews,280.0,,US,US-MD,Camp Springs,KADW,ADW,KADW,ADW,"38.810799, -76.866997"
3220,,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS SIGHTING/1510E/CHARLESTON ATCT ADVISED, E195, CAK - CHS, REPORTED A WHITE UAS FROM THE 3 O'CLOCK POSITION WHILE SSW BOUND AT 3,000 FEET 5 NNE CHS. NO EVASIVE ACTION TAKEN. CHS ARPT PD NOTIFIED.",2023-04-27,CAK,SSW BOUND,1510E,CHARLESTON ATCT,CAK - CHS,5 NNE CHS,"AT 3,000 FEET",KCAK,medium_airport,Akron Canton Regional Airport,1228.0,,US,US-OH,Akron,KCAK,CAK,KCAK,CAK,"40.916099548339844, -81.44219970703125"
3221,,KANSAS,OLATHE,"PRELIM INFO FROM FAA OPS: OLATHE, KS/UAS SIGHTING/1205C/NEW CENTURY ATCT ADVISED, PIPER PA34, REPORTED A WHITE UAS OFF THE 9'OCLOCK POSITION WHILE W BOUND 1,700 FEET 3 SE IXD.  NO EVASIVE ACTION TAKEN. JOHNSON COUNTY SHERIFF NOTIFIED.",2023-04-28,OFF,W BOUND,1205C,NEW CENTURY ATCT,,3 SE IXD,,KOFF,medium_airport,Offutt Air Force Base,1052.0,,US,US-NE,Omaha,KOFF,OFF,KOFF,OFF,"41.119307, -95.90851"
3222,,WISCONSIN,MILWAUKEE,"PRELIM INFO FROM FAA OPS: MILWAUKEE, WI/UAS SIGHTING/1500C/MILWAUKEE ATCT ADVISED, DASSAULT FA7X, REPORTED A WHITE UAS FROM THE 12 O'CLOCK POSITION WHILE ENE BOUND AT 2,300 FEET 4 WSW MKE. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED.",2023-04-28,MKE,ENE BOUND,1500C,MILWAUKEE ATCT,,4 WSW MKE,"AT 2,300 FEET",KMKE,large_airport,General Mitchell International Airport,723.0,,US,US-WI,Milwaukee,KMKE,MKE,KMKE,MKE,"42.947201, -87.896599"
3223,,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS SIGHTING/1624E/MIAMI TRACON ADVISED, B739, FLL - DEN, REPORTED A UAS FROM THE 10 O'CLOCK POSITION WHILE NNW BOUND AT 8,000 FEET 5 NNE MIA. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF NOTIFIED.",2023-04-28,DEN,NNW BOUND,1624E,MIAMI TRACON,FLL - DEN,5 NNE MIA,"AT 8,000 FEET",KDEN,large_airport,Denver International Airport,5431.0,,US,US-CO,Denver,KDEN,DEN,KDEN,DEN,"39.861698150635, -104.672996521"
3224,,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1628E/FORT LAUDERDALE ATCT ADVISED, A320, COMAYAGUA, HONDURAS (MHPR) - FLL, REPORTED A BLACK UAS WHILE E BOUND AT 2,000 FEET 3 W FLL. NO EVASIVE ACTION REPORTED. BSO DISPATCH NOTIFIED.",2023-04-28,FLL,E BOUND,1628E,FORT LAUDERDALE ATCT,"COMAYAGUA, HONDURAS (MHPR) - FLL",3 W FLL,"AT 2,000 FEET",KFLL,large_airport,Fort Lauderdale Hollywood International Airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702"
3225,,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1628E/MIAMI TRACON ADVISED, A321, PORT-AU-PRINCE, HAITI (MTPP) - FLL, REPORTED A UAS FROM THE 10 O'CLOCK POSITION WHILE W BOUND AT 8,200 FEET 20 NE FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF NOTIFIED.",2023-04-28,FLL,W BOUND,1628E,MIAMI TRACON,HAITI (MTPP) - FLL,20 NE FLL,"AT 8,200 FEET",KFLL,large_airport,Fort Lauderdale Hollywood International Airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702"
3226,,WISCONSIN,MILWAUKEE,"PRELIM INFO FROM FAA OPS: MILWAUKEE, WI/UAS SIGHTING/1724C/TSOC REPORTED MILWAUKEE ATCT ADVISED, DASSAULT FA7X, REPORTED A WHITE QUAD-ROTOR UAS AT 2,000 FEET 4 SW MKE. ATC ALTERED APCH 7R TO 1L. LEO RESPONDED AND CONDUCTED SWEEP YIELDING NEGATIVE RESULTS.",2023-04-28,MKE,,1724C,TSOC REPORTED MILWAUKEE ATCT,,4 SW MKE,"AT 2,000 FEET",KMKE,large_airport,General Mitchell International Airport,723.0,,US,US-WI,Milwaukee,KMKE,MKE,KMKE,MKE,"42.947201, -87.896599"
3227,,FLORIDA,SARASOTA,"PRELIM INFO FROM FAA OPS: SARASOTA, FL/UAS SIGHTING/1135E/SARASOTA ATCT ADVISED, A319, IAD - SRQ, REPORTED A UAS WHILE E BOUND AT 2,500 FEET 6 S SRQ. NO EVASIVE ACTION TAKEN. SARASOTA COUNTY SHERIFF NOTIFIED.",2023-04-29,IAD,E BOUND,1135E,SARASOTA ATCT,IAD - SRQ,6 S SRQ,"AT 2,500 FEET",KIAD,large_airport,Washington Dulles International Airport,312.0,,US,US-VA,Dulles,KIAD,IAD,KIAD,IAD,"38.9445, -77.455803"
3228,,COLORADO,DENVER,"PRELIM INFO FROM FAA OPS: DENVER, CO/UAS SIGHTING/1058M/DENVER ATCT ADVISED, CESSNA C172, REPORTED BLACK UAS BELOW ACFT WHILE W BOUND AT 6,300 FEET VCNTY DEN.  NO EVASIVE ACTION TAKEN. ARAPAHOE COUNTY SHERIFF NOTIFIED.",2023-04-29,DEN,W BOUND,1058M,DENVER ATCT,,,"AT 6,300 FEET",KDEN,large_airport,Denver International Airport,5431.0,,US,US-CO,Denver,KDEN,DEN,KDEN,DEN,"39.861698150635, -104.672996521"
3229,,ARIZONA,PHOENIX,"PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS SIGHTING/1203M/PHOENIX ATCT ADVISED, E75L, SLC - PHX, REPORTED A UAS WHILE ENE BOUND AT 2,500 FEET 4 W PHOENIX VORTAC. NO EVASIVE ACTION TAKEN. PHOENIX POLICE NOTIFIED.",2023-04-29,SLC,ENE BOUND,1203M,PHOENIX ATCT,SLC - PHX,4 W PHOENIX VORTAC,"AT 2,500 FEET",KSLC,large_airport,Salt Lake City International Airport,4227.0,,US,US-UT,Salt Lake City,KSLC,SLC,KSLC,SLC,"40.78886, -111.979866"
3230,,SOUTH CAROLINA,GREENVILLE,"PRELIM INFO FROM FAA OPS: GREENVILLE, SC/UAS SIGHTING/1640E/GREENVILLE ATCT ADVISED, BELL COPTER, REPORTED A BLACK UAS FROM THE 12 O'CLOCK POSITION WHILE SW BOUND AT 1,500 FEET 2 GMU. NO EVASIVE ACTION TAKEN. GREENVILLE 911 NOTIFIED..",2023-04-29,GMU,SW BOUND,1640E,GREENVILLE ATCT,,,"AT 1,500 FEET",KGMU,medium_airport,Greenville Downtown Airport,1048.0,,US,US-SC,Greenville,KGMU,GMU,KGMU,GMU,"34.847903, -82.350217"
3231,,CALIFORNIA,SAN JOSE,"PRELIM INFO FROM FAA OPS: SAN JOSE, CA/UAS SIGHTING/LATE REPORT 4-29 1708P/W-ROC ADVISED, CESSNA C68A, SJC - SNA, REPORTED A LIGHT GRAY UAS 20 FEET BELOW THEIR 12 O'CLOCK POSITION WHILE ON 6 MILE FINAL FOR RUNWAY 30L. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2023-04-29,SNA,,,,SJC - SNA,,,KSNA,large_airport,John Wayne Orange County International Airport,56.0,,US,US-CA,Santa Ana,KSNA,SNA,KSNA,SNA,"33.675701, -117.867996"
3232,,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/2139C/OHARE ATCT ADVISED, B738, BNA - ORD, REPORTED A YELLOW UAS FROM THE 3 O'CLOCK POSITION WHILE W BOUND AT 1,800 FEET 3 E ORD. NO EVASIVE ACTION TAKEN. CHICAGO ARPT PD NOTIFIED.",2023-04-29,ORD,W BOUND,2139C,OHARE ATCT,BNA - ORD,3 E ORD,"AT 1,800 FEET",KORD,large_airport,Chicago O'Hare International Airport,680.0,,US,US-IL,Chicago,KORD,ORD,KORD,ORD,"41.9786, -87.9048"
