,Unnamed: 0,Date,State,City,Summary,Source File,code,Direction,Time,Authority Advised,Route,Location,Altitude,latitude,longitude
8361,8361,"May 29, 2017",MICHIGAN,PONTIAC,"
PRELIM INFO FROM FAA OPS: PONTIAC, MI/UAS INCIDENT/1346E/ GULFSTREAM AEROSPACE  REPORTED A UAS 5 MILES N OF PONTIAC AT 5,000 FEET. NO DESCRIPTION PROVIDED. NO EVASIVE ACTION TAKEN. WATERFORD PD NOTIFIED._x000D_

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1346E,,,,,,
8366,8366,"May 28, 2017",WASHINGTON,ARLINGTON,"
PRELIM INFO FROM FAA OPS: ARLINGTON, WA/UAS INCIDENT/2212P/ CITIZEN REPORTED UAS OPERATING 2.5 SOUTH OF ARLINGTON MUNICIPAL ARPT ON APCH TO ARPT. NO DESCRIPTION GIVEN. LEO NOTIFICATION UNKN.
",UAS_sightings_report_Apr_Jun2017.xlsx,,,2212P,,,,,,
8423,8423,"May 21, 2017",NEW JERSEY,WRIGHTSTOWN,"
PRELIM INFO FROM FAA OPS: WRIGHTSTOWN, NJ/UAS INCIDENT/1110E/ MCGUIRE APCH REPORTED PIPER P28A, WHILE AT 1,700 FEET 15NE MCGUIRE FIELD, OBSERVED A GOLD UAS, 3 FEET IN DIAMETER IN VCNTY OF SIX FLAGS AMUSEMENT PARK. NO EVASIVE ACTION REPORTED. JACKSON PD NOTIFIED._x000D_

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1110E,,,,"AT 1,700 FEET",,
8472,8472,"May 15, 2017",TENNESSEE,KNOXVILLE,"
PRELIM INFO FROM FAA OPS: KNOXVILLE, TN/UAS INCIDENT/1940E/TYS ATCT REPORTED CIRRUS SR22 WHILE EASTBOUND AT 9,000 FEET OBSERVED A LARGE BURGUNDY QUAD COPTER UAS AT 8,500 FEET 40 SW KNOXVILLE. NO EVASIVE ACTION REPORTED. MCMINN COUNTY SHERIFF NOTIFIED._x000D_

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1940E,,,40 SW KNOXVILLE,"AT 9,000 FEET",,
8482,8482,"May 14, 2017",TEXAS,GEORGETOWN,"
PRELIM INFO FROM FAA OPS: GEORGETOWN, TX/UAS INCIDENT/1509C/ CIRRUS, SR22, REPORTED A UAS 50 FT BELOW ACFT VCNTY GEORGETOWN. GEORGETOWN PD NOTIFIED._x000D_

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1509C,,,,,,
8544,8544,"May 4, 2017",CONNECTICUT,PUTNAM,"
PRELIM INFO FROM FAA OPS: PUTNAM, CT/UAS INCIDENT/1923E/BOSTON ARTCC ADVISES MD88 REPORTED A UAS 500 FEET OF LEFT WING AT 12,000 FEET VCNTY PUTNAM. NO EVASIVE ACTION REPORTED. CONNECTICUT STATE PD NOTIFIED._x000D_

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1923E,,,,"AT 12,000 FEET",,
8575,8575,"April 29, 2017",NEW YORK,NEW YORK,"
PRELIM INFO FROM FAA OPS: LGA/UAS INCIDENT/1720E/LGA ATCT ADVISED B739 REPORTED A BLACK OR DARK GREY UAS AT 1,000 FEET WHILE ON 2.5 MILE FINAL RUNWAY 22. NO EVASIVE ACTION TAKEN. NYPD AVIATION UNIT NOTIFIED._x000D_

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1720E,LGA ATCT,,,"AT 1,000 FEET",,
8597,8597,"April 23, 2017",CALIFORNIA,CARLSBAD,"
PRELIM INFO FROM FAA OPS: , CA/UAS INCIDENT/1010P/CARLSBAD ATCT ADVISED CESSNA C172, REPORTED SEEING A UAS AT 2,400 FEET 5 N CARLSBAD, CA. UAS SAME ALTITUDE AS ACFT. NO EVASIVE ACTION TAKEN. CARLSBAD PD NOTIFIED.

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1010P,CARLSBAD ATCT,,,"AT 2,400 FEET",,
8651,8651,"April 17, 2017",CALIFORNIA,SANTA ANA,"
PRELIM INFO FROM FAA OPS: SANTA ANA, CA/UAS INCIDENT/1416P/JOHN WAYNE ATCT ADVISED CESSNA C172, REPORTED SEEING A WHITE UAS AT 2,400 FEET 7 NW JOHN WAYNE. UAS SAME ALTITUTE AS ACFT. NO EVASIVE ACTION TAKEN. ORANGE COUNTY SHERIFF NOTIFIED.

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1416P,JOHN WAYNE ATCT,,7 NW JOHN WAYNE,"AT 2,400 FEET",,
8652,8652,"April 17, 2017",ARIZONA,YUMA,"
PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/1208P/MCAS YUMA ATCT ADVISED H53, REPORTED SEEING A UAS AT 700 FEET 3 NNE YUMA. UAS WAS AT SAME ALTITUDE AS ACFT. NO EVASIVE ACTION TAKEN. PROVOST MARSHAL OFFICE NOTIFIED._x000D_

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1208P,MCAS YUMA ATCT,,3 NNE YUMA,AT 700 FEET,,
8668,8668,"April 15, 2017",CALIFORNIA,TORRANCE,"
PRELIM INFO FROM FAA OPS: TORRANCE, CA/UAS INCIDENT/1050P/ HAWKER BEECHCRAFT BE33, REPORTED A BROWN UAS AT 3,500 FEET, 5 N TORRANCE. NO EVASIVE ACTION TAKEN. UNKN IF LEO NOTIFIED. _x000D_

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1050P,,,5 N TORRANCE,,,
8691,8691,"April 11, 2017",MISSISSIPPI,WINONA,"
PRELIM INFO FROM FAA OPS: WINONA, MS/UAS INCIDENT/1429C/ MEMPHIS ARTCC ADVISED VFRHAWKER BEECHCRAFT BE36, REPORTED A UAS OPERATING BETWEEN 500 TO 700 FEET, ACFT WAS AT 2,100 FEET 7 SW WINONA. PIC REPORTED THE UAS MIGHT HAVE A TRANSPONDER. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. _x000D_

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1429C, MEMPHIS ARTCC,,7 SW WINONA,"AT 2,100 FEET",,
8718,8718,"April 4, 2017",CALIFORNIA,OAKLAND,"
PRELIM INFO FROM FAA OPS: OAKLAND, CA/UAS INCIDENT/1207P/NCT ADVISED PILATUS PC12, REPORTED SEEING A SMALL UAS AT 5,000 FEET 12 ESE OAKLAND, CA. UAS SAME ALTITUDE. NO EVASIVE ACTION TAKEN. FREMONT PD NOTIFIED._x000D_

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1207P,NCT,,,"AT 5,000 FEET",,
8724,8724,"April 2, 2017",VIRGINIA,FLAT ROCK,"
PRELIM INFO FROM FAA OPS: FLAT ROCK, VA/UAS INCIDENT/1147E/ RALEIGH FSS ADVISED EXPERIMENTAL GREEN L RV4, REPORTED A NEAR MID-AIR COLLISION WHEN A 2.5 - 3 FT DIAMETER UAS PASSED DIRECTLY BENEATH THE AIRCRAFT AT 7,000 FEET. NO EVASIVE ACTION TAKEN. NO FURTHER INFORMATION PROVIDED. _x000D_

",UAS_sightings_report_Apr_Jun2017.xlsx,,,1147E, RALEIGH FSS,,,,,
8747,8747,,,,"PRELIM  INFO FROM FAA OPS: SCOTTSDALE, AZ/UAS INCIDENT/1858P/PHOENIX TRACON ADVISED THAT A CITIZEN REPORTED A UAS WITH MULTIPLE LIGHTS WAS FLYING ABOUT 100 FEET ABOVE HIS HOME , SCOTTSDALE. PHOENIX PD NOTIFIED .",UASEventsNov2014-Aug2015.xls,,,1858P,PHOENIX TRACON,,,,,
8748,8748,,,,"PRELIM INFO FROM FAA OPS: TUSCALOOSA, AL/UAS INCIDENT/11-15 1430C/LEO'S REPORTED UAS OPERATION IN TFR OUTSIDE UNIVERSITY OF ALABAMA FOOTBALL STADIUM PRIOR TO GAME. DURING ATTEMPTED LANDING UAS STRUCK BYSTANDER IN MIDSECTION. LEO'S RESPONDED. FSDO INVESTIGATING INCIDENT. NO REPORTED INJURY TO INDIVIDUAL STRUCK BY UAS.",UASEventsNov2014-Aug2015.xls,,,,,,,,,
8752,8752,,,,"PRELIM INFO FROM FAA OPS: BOSTON, MA/UAS INCIDENT/1617E/BOSTON ATCT ADVISED LOCAL VFR HELICOPTER SPOTTED A LARGE UAS ORBITING AT 400 FEET IN CLASS B AIRSPACE 5 SW BOSTON LOGAN INTERNATIONAL ARPT. MASSACHUSETTS STATE POLICE NOTIFIED. ",UASEventsNov2014-Aug2015.xls,,,1617E,BOSTON ATCT,,5 SW BOSTON LOGAN INTERNATIONAL ARPT,AT 400 FEET,,
8757,8757,,,,"PRELIM INFO FROM FAA OPS: JOHN WAYNE ARPT, SANTA ANA, CA/UAS INCIDENT/1125P/SOUTHERN CALIFORNIA TRACON  ADVISED PIPER PA28 REPORTED A UAS HOVERING BETWEEN 2,000 - 3,000 FEET 4 MILES SOUTH OF JOHN WAYNE ARPT. NO DESCRIPTION OF THE UAS WAS GIVEN OR EVASIVE ACTIONS TAKEN. ORANGE COUNTY PD NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1125P,SOUTHERN CALIFORNIA TRACON ,,,,,
8762,8762,,,,"PRELIM INFO FROM FAA OPS: DAYTONA BEACH, FL/UAS INCIDENT/1614E/DAYTONA BEACH TRACON ADVISED CESSNA C172 REPORTED A UAS BLUE IN COLOR HEADING NORTHEAST BOUND AT 4,500 FEET 10 MILES EAST OF DAYTONA BEACH. NO EVASIVE ACTION TAKEN. VOLUSIA COUNTY SHERIFF NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1614E,DAYTONA BEACH TRACON,,,"AT 4,500 FEET",,
8763,8763,,,,"PRELIM INFO FROM FAA OPS: ANDREWS AFB, MD/UAS INCIDENT/1720E/ANDREWS ATCT ADVISED THAT AN UNIDENTIFED GULFSTREAM REPORTED A UAS ON A 3 MILES FINAL TO RUNWAY 19R. UAS WAS DESCRIBED AS A LARGE VULTURE. PRINCE GEORGES COUNTY PD NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1720E,ANDREWS ATCT,,,,,
8774,8774,,,,"PRELIM INFO FROM FAA OPS: VAN NUYS, CA/UAS INCIDENT/1559P/VAN NUYS ATCT ADVISED ROBINSON R66 REPORTED SMALL UAS OVER THE NW CORNER OF THE PARKING RAMP AT 100 FEET. NO CONFLICTS REPORTED BUT ADVISED IT WAS A HAZARD. LEO'S NOT NOTIFIED. ",UASEventsNov2014-Aug2015.xls,,,1559P,VAN NUYS ATCT,,,,,
8781,8781,,,,"PRELIM INFO FROM FAA OPS: SALEM, NJ/UAS INCIDENT/1420E/HOPE CREEK NUCLEAR PLANT PERSONNEL REPORTED A UAS TRANSITIONING THE COASTLINE ADJACENT TO THE PLANT FROM SOUTH TO NORTH, NO ADDITIONAL INFO PROVIDED. ",UASEventsNov2014-Aug2015.xls,,,1420E,,,,,,
8785,8785,,,,"PRELIM INFO FROM FAA OPS:  REDDING, CA/UAS INCIDENT/1130P/READING ATCT REPORTED THAT CESSNA C172 REPORTED A SMALL UAS DESCRIBED AS AN RC TYPE, 500 FEET BELOW ACFT ALTITUDE. NO EVASIVE ACTION REQUIRED. TOWER OBSERVED THE UAS FOR ABOUT 10 MINS WHILE IN THE PATTERN. LOCAL LEOS NOTIFIED. ",UASEventsNov2014-Aug2015.xls,,,1130P,,,,,,
8786,8786,,,,"PRELIM INFO FROM FAA OPS: NASHVILLE, TN/UAS INCIDENT/0003C/NASHVILLE ATCT REPORTED SKYY5, NEWS HELICOPTER, AT 1,500 FEET OVER DOWNTOWN NASHVILLE SPOTTED A UAS FLYING AT APPROXIMATELY 300 FEET EAST TO WEST OVER CITY. NASHVILLE METRO POLICE NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,0003C,,,,"AT 1,500 FEET",,
8811,8811,,,,"PRELIM INFO FROM FAA OPS: BOSTON, MA/UAS INCIDENT/1619E/UNITED 1087, B737, REPORTED SEEING A UAS 100 FEET ABOVE ACFT ALTITUDE OF 7,000 FEET FOOTBALL SHAPED RED-BLUE IN COLOR 8 NE BOSTON. MASS STATE POLICE NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1619E,,,8 NE BOSTON,,,
8818,8818,,,,"PRELIM INFO FROM FAA OPS: FT WORTH, TX/UAS INCIDENT/1519C  CESSNA C172 AT 1,700 FEET 9 SW FT WORTH REPORTED AN UAS OR BALLOON 300 TO 400 FEET BELOW THE ACFT. NO REPORT OF LEOS WERE NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1519C,,,,"AT 1,700 FEET",,
8819,8819,,,,"PRELIM INFO FROM FAA OPS: JONESVILLE, NC /UAS INCIDENT/1344E/ATLANTA ARTCCC RECEIVED A REPORT THAT CIRRUS SR20 AT 9,000 FEET REPORTED SEEING A LARGE 4 PROP SILVER UAS 500 FEET BELOW HIS ALTITUDE WHILE HEADING NE BOUND 25 NE BARRETTS MOUNTAIN VOR. JONESVILLE,NC PD NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1344E,,,25 NE BARRETTS MOUNTAIN VOR,"AT 9,000 FEET",,
8822,8822,,,,"PRELIM INFO FROM FAA OPS:  WEST PALM BEACH, FL/UAS INCIDENT/0939E/MIAMI ARTCC REPORTED THAT GULFSTREAM AEROSPACE GLF4, OPA-LOCKA ARPT, MIAMI - TETERBORO, NJ, CAME WITHIN 20 FEET OF A GOOD-SIZED, FAST MOVING, OPPOSITE DIRECTION WHITE UAS WITH WINGS WHILE NORTHBOUND AT FL255 48 E WEST PALM BEACH ARPT. OBSERVATION OF UAS WAS VISUAL ONLY; NO TCAS EVENT.",UASEventsNov2014-Aug2015.xls,,,0939E,,"MIAMI - TETERBORO, NJ",48 E WEST PALM BEACH ARPT,,,
8826,8826,,,,"PRELIM INFO FROM FAA OPS: SANTA ANA, CA/UAS INCIDENT/1020P/UNITED 533, A320, REPORTED A FLYING OBJECT AT 8,000 FEET THAT APPEARED TO BE A UAS IN RELATIVELY CLOSE PROXIMITY. NO LEOS NOTIFIED. ",UASEventsNov2014-Aug2015.xls,,,1020P,,,,"AT 8,000 FEET",,
8827,8827,,,,"PRELIM INFO FROM FAA OPS: WAUKESHA, WI/UAS INCIDENT/10 FEB 1045C/WAUKESHA ATCT ADVISED CESSNA C152  REPORTED A QUAD COPTER UAS, 24"" X 14"", 300 FEET TO THE ACFT RIGHT SIDE AT 1,000 FEET 2 NW WAUKESHA. LEO NOT NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,,WAUKESHA ATCT,,2 NW WAUKESHA,"AT 1,000 FEET",,
8830,8830,,,,"PRELIM INFO FROM FAA OPS: LAS/UAS INCIDENT/1612P/LAS RECEIVED REPORT FROM ROBINSON R44 UAS PASSED 100 FEET BELOW HEADING NW AT 2,900 FEET OVER THE BANK OF AMERICA BUILDING ON FREEMONT STREET. LEOS NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1612P,,,,"AT 2,900 FEET",,
8834,8834,,,,"PRELIM INFO FROM FAA OPS: OKLAHOMA CITY, OK/UAS INCIDENT/1609C/ZFW ADVISED PIPER PA46 REPORTED A UAS 1,000 FEET BELOW ACFT ALTITUDE OF 11,000 FEET 35 E OKLAHOMA CITY, OK. UNKN IF LEO NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1609C,ZFW,,,,,
8835,8835,,,,"PRELIM INFO FROM FAA OPS: ANCHORAGE, AK/UAS INCIDENT/1835L ROBINSON R44 REPORTED A UAS BELOW 400 FEET IN THE VICINITY OF DOWNTOWN ANCHORAGE. NO CONFLICTS REPORTED.",UASEventsNov2014-Aug2015.xls,,,1835L,,,,,,
8836,8836,,,,"PRELIM INFO FROM FAA OPS: JACKSONVILLE, FL/UAS INCIDENT/1207E/VFR CESSNA C172 HEADING SOUTHBOUND AT 2,800 FEET RECEIVING FLIGHT FOLLOWING REPORTED A UAS APPROXIMATELY 500 FEET BELOW, 10 SE OF CRAIG MUNICIPAL AIRPORT. THE UAS APPEARED TO BE 3 FEET IN DIAMETER MANEUVERING IN THE AREA. THE DUVAL COUNTY SHERIFF'S DEPARTMENT WAS NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1207E,,,10 SE OF CRAIG MUNICIPAL AIRPORT,"AT 2,800 FEET",,
8837,8837,,,,"PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS INCIDENT/1403M/PHOENIX-MESA GATEWAY ATCT ADVISED LANCAIR LNC4, REPORTED A UAS AT 2,200 FEET 5 E PHOENIX-MESA GATEWAY ARPT. NO EVASIVE ACTION TAKEN. MESA PD NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1403M,,,,"AT 2,200 FEET",,
8848,8848,,,,"PRELIM INFO FROM FAA OPS: TREASURE CAY, BAHAMAS/UAS INCIDENT/1906L/ZMA ADVISED PIPER P28A REPORTED OBSERVING A UAS APPROXIMATELY 1 S TREASURE CAY AT 3,000. UAS PASSED APPROXIMATELY 50 FEET FROM ACFT. NO EVASIVE ACTION REPORTED. LEO NOT NOTIFIED DUE TO INCIDENT OCCURRING IN BAHAMAS AIRSPACE.",UASEventsNov2014-Aug2015.xls,,,1906L,ZMA,,1 S TREASURE CAY,,,
8849,8849,,,,"PRELIM INFO FROM FAA OPS: JFK/UAS INCIDENT/1544E/NY TRACON ADVISED AMERICAN 199, B763, S OF ISLIP, NY AT 8,000 FEET HEADING W BOUND REPORTED SEEING A UAS. NO CONFLICTS REPORTED. SUFFOLK COUNTY PD NOTIFIED.

PRELIM INFO FROM FAA OPS: JFK/UAS INCIDENT/1536E/NY TRACON ADVISED NETHERLANDS REGISTERED KLM 641, B772, 5 S ISLIP, NY AT 6,000 FEET HEADING W BOUND REPORTED SEEING A UAS. NO CONFLICTS REPORTED. SUFFOLK COUNTY PD NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1544E,NY TRACON,,,"AT 8,000 FEET",,
8857,8857,,,,"PRELIM INFO FROM FAA OPS: ISLIP, NY/UAS INCIDENT/1358E/ISLIP ATCT REPORTED P28A OBSERVED A UAS AT 600 FEET 2 S ISLIP. NO OTHER DESCRIPTION GIVEN. SUFFOLK PD NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1358E,,,2 S ISLIP,AT 600 FEET,,
8861,8861,,,,"PRELIM INFO FROM FAA OPS: CLEVELAND, OH/UAS INCIDENT/1418E SCHWEIZER H269 REPORTED A VERY SMALL UAS 1.5 W OF BURKE LAKEFRONT ARPT AT 1,200 FEET. PIC OBSERVED OPERATOR OF UAS PACKING UP TO DEPART AREA. LEO NOT NOTIFIED. ",UASEventsNov2014-Aug2015.xls,,,1418E,,,,,,
8867,8867,,,,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS INCIDENT/1300E/MCDILL AFB ATCT REPORTED A UAS, LESS THAN 300 LBS, CRASHED BY THE PERIMETER FENCE. NO PROPERTY DAMAGE REPORTED. ",UASEventsNov2014-Aug2015.xls,,,1300E,,,,,,
8869,8869,,,,"CORRECTED INFO FROM FAA OPS: ANCHORAGE, AK/UAS INCIDENT/1503L/MERRILL ATCT REPORTED A UAS WITH LIGHTS, .5 W OF RUNWAY 7 THRESHOLD. ALASKA STATE POLICE NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1503L,,,,,,
8876,8876,,,,"PRELIM INFO FROM FAA OPS: CAMP MACKALL, NC/UAS INCIDENT/1207E HAWKER BEECHCRAFT BE35 ENROUTE TO MONROE, NC, REPORTED A UAS PASS BY AT 6,000 FEET, 7 SW MACKALL ARMY AIRFIELD. NO UAS DESCRIPTION OR PROXIMITY PROVIDED. UNKN IF LEO NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1207E,,,7 SW MACKALL ARMY AIRFIELD,,,
8897,8897,,,,"PRELIM INFO FROM FAA OPS: LANGLEY, WA/UAS INCIDENT/1445P CESSNA C172 REPORTED A UAS OPERATING AT 2,800 FEET OVER SEATTLE TRACON. ",UASEventsNov2014-Aug2015.xls,,,1445P,,,,"AT 2,800 FEET",,
8902,8902,,,,"PRELIM INFO FROM FAA OPS: MERCED, CA/UAS INCIDENT/1321P/NCT ADVISED EXPERIMENTAL ZENAIR CH2T, REPORTED A GREEN SCALE MODEL AIRPLANE WITHIN 100 FEET OF LOCATION 8 NW MERCED AT 2,200 FEET. ",UASEventsNov2014-Aug2015.xls,,,1321P,NCT,,8 NW MERCED,,,
8915,8915,,,,"PRELIM INFO FROM FAA OPS: EDEN PRAIRIE, MN /UAS INCIDENT/1537C/FLYING CLOUD ATCT REPORTED HAWKER BEECHCRAFT BE77 OBSERVED A UAS THAT RESEMBLED A ""DOG"" AT 1,700 FEET WHEN IT CAME WITHIN 200 FEET OF THE ACFT 10 SE FLYING CLOUD AIRPORT, EDEN PRAIRIE. HENNEPIN COUNTY SHERIFF DEPT NOTIFIED. ",UASEventsNov2014-Aug2015.xls,,,1537C,,,,"AT 1,700 FEET",,
8918,8918,,,,"PRELIM INFO FROM FAA OPS:  CENTENNIAL, CO/UAS INCIDENT/2120M/CENTENNIAL TOWER OBSERVED A UAS FLYING WITHIN .5 MILE WEST OF ARPT FROM SURFACE UP TO ESTIMATED 500 FEET. NO ACFT INVOLVED. DENVER PD NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,2120M,,,,,,
8927,8927,,,,"PRELIM INFO FROM FAA OPS: WILSONA GARDENS, CA/UAS INCIDENT/1232P/E10 REPORTED A MQ1C UAS CRASHED 4 E OF WILSONA GARDENS. NO INJURIES ON GROUND. ",UASEventsNov2014-Aug2015.xls,,,1232P,,,4 E OF WILSONA GARDENS,,,
8938,8938,,,,"PRELIM INFO FROM FAA OPS: ARLINGTON, TX/UAS INCIDENT/1600C/ARLINGTON ATCT RECEIVED REPORT FROM HAWKER BEECHCRAFT BE36 WHILE HEADING SW BOUND AT 1,400 FEET OBSERVED UAS 100 FEET BELOW, 3 SW ARLINGTON. ARLINGTON PD NOTIFIED VIA 911.",UASEventsNov2014-Aug2015.xls,,,1600C,,,3 SW ARLINGTON,"AT 1,400 FEET",,
8965,8965,,,,"PRELIM INFO FROM FAA OPS: SCOTTSDALE, AZ/UAS INCIDENTS/1255P/SCOTTSDALE ATCT REPORTED A HELO (REGISTRATION/TYPE UNKN) OBSERVED A SMALL UAS AT 2,400 FEET 5 NW SCOTTSDALE HEADING SOUTHEAST. SCOTTSDALE PD NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,1255P,,,5 NW SCOTTSDALE HEADING SOUTHEAST,"AT 2,400 FEET",,
8973,8973,,,,"PRELIM INFO FROM FAA OPS: WASHINGTON, DC/UAS INCIDENT/1218E/DEN (NCRCC) REPORTED A POSSIBLE UAS IN VCNTY OF WHITE HOUSE. MILITARY ASSETS SCRAMBLED. ANDRES ON RWY ALERT.

PRELIM INFO FROM FAA OPS: WASHINGTON, DC/UAS INCIDENT/1225E/WHITE UAS SPOTTED IN VCNTY OF TIDAL BASIN HEADED TOWARDS ARLINGTON AREA. ASSETS AIRBORNE. UPDATE TO FOLLOW.

CLOSE OUT INFO FROM FAA OPS: WASHINGTON, DC/UAS INCIDENT/1241E/DEN (NCRCC) REPORTED MILITARY ASSETS RETURNING TO BASE. ANDREWS RWY ALERT CANCELLED.

CLOSE OUT INFO FROM FAA OPS: WASHINGTON, DC/UAS INCIDENT/1241E/DEN (NCRCC) REPORTED MILITARY ASSETS RETURNING TO BASE. ANDREWS RWY ALERT CANCELLED. BOTH UAS REPORTS APPEAR TO BE SAME EVENT. ",UASEventsNov2014-Aug2015.xls,,,1218E,,,,,,
8996,8996,,,,"PRELIM INFO FROM FAA OPS: SPOKANE, WA/UAS INCIDENTS/1156P/FAIRCHILD AFB ATCT ADVISED USAF COUGR10, UNKN ACFT TYPE, REPORTED A UAS AT 2,500 FEET NEAR THE NATIONAL WEATHER SERVICE RADAR. NO EVASIVE ACTION TAKEN. LEOS NOTIFICATION UNKN.",UASEventsNov2014-Aug2015.xls,,,1156P,FAIRCHILD AFB ATCT,,,"AT 2,500 FEET",,
8998,8998,,,,"PRELIM INFO FROM FAA OPS: WEST PALM BEACH, FL/UAS INCIDENTS/1758E/PBI ATCT ADVISED NETJETS 766, CANADAIR CL60, ON 5 MILE FINAL RY 9 REPORTED A UAS HOVERING. AT 200 FEET. NO EVASIVE ACTION TAKEN. PALM BEACH SHERIFF NOTIFIED. ",UASEventsNov2014-Aug2015.xls,,,1758E,PBI ATCT,,,,,
9006,9006,,,,"On 4/28/15 we had an unmanned aircraft system (quad copter) flying over the carnival (attendance approx. 2,000) which was apparently taking video/pictures of the event. Our officers spoke to the operator. Citizen was cooperative and stopped flying the UAS. Pictures that the UAS were posted on the Shenandoah Apple Blossom Festival's (SABF) Facebook page the following morning. I spoke with SABF officials who advised that citizen had a business that does photography and marketing. Citizen tried to work out a deal with SABF to be contracted to take pictures with his UAS for the festival, but no formal agreement was made. Examples of his pictures have been posted on his website. Last fall the Winchester Public Schools used a UAS to assist with making a sort of public service announcement and I believe same cirtizen was also used for that filming. During a planning meeting held by the WPS superintendent I advised  that I believed that the person operating the UAS needed an FAA permit and the response I received was ""he does this all the time."" Citizen was not at this meeting to hear my concern. Please keep in mind that our only encounter with citizen so far has been cooperative. I don't want to appear that we have some issue with him. I just want to make sure people are following the rules and if we have a problem in the future we can say we've treated everyone fairly. ",UASEventsNov2014-Aug2015.xls,,,,,,,,,
9025,9025,,,,"PRELIM INFO FROM FAA OPS: PEGGS, OK/UAS INCIDENT/0725C/MEMPHIS ARTCC RECEIVED REPORT FROM EAGLEMED 6, HELO, OF A WHITE UAS FOLLOWING HELO AT 300-500 FEET VCNTY PEGGS, OK. NO EVASIVE ACTION TAKEN. CHEROKEE COUNTY SHERIFF NOTIFIED.",UASEventsNov2014-Aug2015.xls,,,0725C,,,,,,
9061,9061,,,,"PRELIM INFO FROM FAA OPS: WISCASSET, ME/UAS INCIDENT/15 2107E/BOSTON ARTCC REPORTED THAT A SUPERVISOR AT THE MAINE YANKEE NUCLEAR POWER PLANT OBSERVED A UAS FLYING 400 FEET OVER THE PLANT. WISCASSET PD NOTIFIED ",UASEventsNov2014-Aug2015.xls,,,,,,,,,
9070,9070,,,,"PRELIM INFO FROM FAA OPS: NEWPORT, RI/UAS INCIDENT/1420E/NEWPORT ATCT REPORTED UNIDENTIFIED UAS AT UNKN ALTITUDE DURING A BOATING RACE NEAR NEWPORT STATE ARPT. NO EVASIVE ACTION TAKEN. NEWPORT PD NOTIFIED ",UASEventsNov2014-Aug2015.xls,,,1420E,,,,,,
9081,9081,,,,"PRELIM INFO FROM FAA OPS: GREEN BAY, WI/UAS INCIDENT/1314C/GREEN BAY ATCT ISSUED TRAFFIC TO CESSNA C182, WHICH REPORTED THE TRAFFIC AS A UAS AT 4,600 FEET. UAS WAS A QUADCOPTER BLUE IN COLOR. LEOS WAS NOT NOTIFIED. ",UASEventsNov2014-Aug2015.xls,,,1314C,,,,,,
9093,9093,,,,"PRELIM INFO FROM FAA OPS: PHILADELPHIA, PA/UAS INCIDENT/1420E/GRUMMAN AMERICAN AA5, REPORTED MODEL AIRPLANE WITHIN 1/4 MILE, 100 FEET ABOVE ACFT WHILE ON 2 MILE FINAL RUNWAY 24 NORTHEAST PHILADELPHIA ARPT VCNTY BENJAMIN RUSH STATE PARK. PHILADELPHIA 8TH DISTRICT PD NOTIFIED. UNKN IF EVASIVE ACTION TAKEN. ",UASEventsNov2014-Aug2015.xls,,,1420E,,,,,,
