,Day of Sighting,x,y,z,State,City,Date,code,Direction,Time,Authority Advised,Route,Location,Altitude,ident,type,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates,latitude,longitude,alt_meters
3590,,541818.4655813433,-5149873.1698394,3711205.63543643,TENNESSEE,KNOXVILLE,2023-06-24,TYS,NE BOUND,1148E,KNOXVILLE ATCT,,22 NE TYS,"AT 2,400 FEET",KTYS,medium_airport,981.0,,US,US-TN,Alcoa,KTYS,TYS,KTYS,TYS,"35.811001, -83.994003",35.811001,-83.994003,0.0
3591,,-514706.12011658354,-5505111.959842761,3168875.9837484965,TEXAS,HOUSTON,2023-06-24,IAH,NNW BOUND,1345C,HOUSTON TRACON,IAH - DTW,1 NNW IAH,"AT 2,000 FEET",KIAH,large_airport,97.0,,US,US-TX,Houston,KIAH,IAH,KIAH,IAH,"29.984399795532227, -95.34140014648438",29.984399795532227,-95.34140014648438,0.0
3592,,1536066.7833601383,-4463060.823658546,4275397.884263988,CALIFORNIA,LOS ANGELES,2023-06-24,BOS,WSW BOUND,1204P,LAX ATCT,BOS - LAX,3 ENE LAX,AT 600 FEET,KBOS,large_airport,20.0,,US,US-MA,Boston,KBOS,BOS,KBOS,BOS,"42.36197, -71.0079",42.36197,-71.0079,0.0
3593,,848189.1248197181,-5548768.681898493,3018438.2657909067,ILLINOIS,CHICAGO,2023-06-24,MCO,NW BOUND,1628C,ORD ATCT,MCO - ORD,17 SE ORD,"AT 10,000 FEET",KMCO,large_airport,96.0,,US,US-FL,Orlando,KMCO,MCO,KMCO,MCO,"28.429399490356445, -81.30899810791016",28.429399490356445,-81.30899810791016,0.0
3594,,1381731.3786823743,-4638887.812370671,4139646.9984199675,NEW YORK,FARMINGDALE,2023-06-25,FRG,S BOUND,1039E,REPUBLIC ATCT,FRG - FRG,1 S FRG,AT 800 FEET,KFRG,medium_airport,82.0,,US,US-NY,Farmingdale,KFRG,FRG,KFRG,FRG,"40.7288017273, -73.4133987427",40.7288017273,-73.4133987427,0.0
3595,,1037968.7444293384,-4731504.30423297,4135319.606695945,NEVADA,LAS VEGAS,2023-06-25,RED,SW BOUND,0820P,LOS ANGELES ARTCC,,35 SW LAS,"AT 8,500 FEET",KRVL,small_airport,819.0,,US,US-PA,Reedsville,KRVL,RED,KRVL,RVL,"40.6773986816, -77.6268005371",40.6773986816,-77.6268005371,0.0
3596,,667806.5665590948,-5219837.740713112,3591798.1014965763,NEW YORK,WHITE PLAINS,2023-06-25,AND,NW BOUND,1235E,NEW YORK TRACON,HPN - ACK,3 SW WHITE PLAINS,"AT 3,500 FEET",KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
3597,,667806.5665590948,-5219837.740713112,3591798.1014965763,NEW HAMPSHIRE,CONCORD,2023-06-25,AND,,1446E,BOSTON TRACON,,3 NW CONCORD,"AT 1,900 FEET",KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
3598,,-2729.1516836052456,-5525904.360113052,3174443.3568640826,NEW HAMPSHIRE,CONCORD,2023-06-25,NEW,,1446E,BOSTON TRACON,,,,KNEW,medium_airport,8.0,,US,US-LA,New Orleans,KNEW,NEW,KNEW,NEW,"30.042400360107, -90.028297424316",30.042400360107,-90.028297424316,0.0
3599,,1299066.2979292523,-4657423.821973552,4145556.552255667,NEW JERSEY,MORRISTOWN,2023-06-25,MMU,SW BOUND,1425E,,UNKN - MMU,,,KMMU,medium_airport,187.0,,US,US-NJ,Morristown,KMMU,MMU,KMMU,MMU,"40.799062, -74.414949",40.799062,-74.414949,0.0
3600,,1321178.1819014656,-4659228.444613047,4136591.3455323847,NEW JERSEY,NEWARK,2023-06-25,EWR,SW BOUND,1540E,NEWARK ATCT,"JAUREZ, MEXICO (MMMX) - EWR",8 NE EWR,"AT 2,200 FEET",KEWR,large_airport,18.0,,US,US-NJ,Newark,KEWR,EWR,KEWR,EWR,"40.692501, -74.168701",40.692501,-74.168701,0.0
3601,,1243295.2301549565,-4795725.14661406,4003479.641739858,DELAWARE,DOVER,2023-06-25,DOV,W BOUND,1631E,DOVER ATCT,,11 NE DOV,"AT 2,000 FEET",KDOV,medium_airport,24.0,,US,US-DE,Dover,KDOV,DOV,KDOV,DOV,"39.129501, -75.466003",39.129501,-75.466003,0.0
3602,,-2454014.598515506,-4777046.091509876,3429143.4312611683,WASHINGTON,SEATTLE,2023-06-25,SAN,NW BOUND,1335P,SEATTLE ATCT,SAN - SEA,10 WSW SEA,"AT 7,000 FEET",KSAN,large_airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441",32.7336006165,-117.190002441,0.0
3603,,1413941.3224321376,-4536314.842792944,4240525.810028006,CONNECTICUT,WINDSOR LOCKS,2023-06-25,BDL,E BOUND,1959E,BRADLEY TRACON,,26 W BDL,"AT 13,000 FEET",KBDL,large_airport,173.0,,US,US-CT,Hartford,KBDL,BDL,KBDL,BDL,"41.93851, -72.688066",41.93851,-72.688066,0.0
3604,,-2454014.598515506,-4777046.091509876,3429143.4312611683,CALIFORNIA,SAN DIEGO,2023-06-25,SAN,W BOUND,2005P,SAN DIEGO ATCT,SFO - SAN,5 SE SAN,"AT 2,000 FEET",KSAN,large_airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441",32.7336006165,-117.190002441,0.0
3605,,295532.5073165051,-5245088.458978462,3604824.6886238893,ALABAMA,HUNTSVILLE,2023-06-26,HSV,,1245C,MEMPHIS ARTCC,,50 W HSV,,KHSV,medium_airport,629.0,,US,US-AL,Huntsville,KHSV,HSV,KHSV,HSV,"34.637199, -86.775101",34.637199,-86.775101,0.0
3606,,516125.3315750989,-5290570.147237747,3512967.692926994,GEORGIA,ATLANTA,2023-06-26,ATL,W BOUND,1349E,ATLANTA TRACON,DCA - ATL,15 E ATL,"AT 5,000 FEET",KATL,large_airport,1026.0,,US,US-GA,Atlanta,KATL,ATL,KATL,ATL,"33.6367, -84.428101",33.6367,-84.428101,0.0
3607,,-4650041.613511487,3181328.7607320296,-2979440.375173413,CALIFORNIA,CAMARILLO,2023-06-26,CMA,,1425P,POINT MUGU ATC,TRK - TRK,20 N CMA,"AT 7,000 FEET",YCMU,medium_airport,630.0,OC,AU,AU-QLD,,YCMU,CMA,YCMU,,"-28.030000686645508, 145.6219940185547",-28.030000686645508,145.6219940185547,0.0
3608,,-2946494.538340134,5644719.198850312,367473.28285729367,CALIFORNIA,CAMARILLO,2023-06-26,TRK,,1435P,POINT MUGU ATC,TRK - TRK,,,WALR,medium_airport,23.0,AS,ID,ID-KU,Tarakan,,TRK,WAQQ,TRK,"3.325145, 117.564169",3.325145,117.564169,0.0
3609,,-2026568.6026406034,-4920966.9613300795,3503570.761109916,ARIZONA,GLENDALE,2023-06-26,LUF,W BOUND,2100M,ALBUQUERQUE ARTCC,,75 W LUF,"AT 15,000 FEET",KLUF,medium_airport,1085.0,,US,US-AZ,Glendale,KLUF,LUF,KLUF,LUF,"33.535, -112.383003",33.535,-112.383003,0.0
3610,,-528628.2136569005,-5125841.558183765,3745979.3207071475,OKLAHOMA,TULSA,2023-06-27,TUL,S BOUND,1558C,TULSA ATCT,SWO - TUL,,"AT 1,100 FEET",KTUL,large_airport,677.0,,US,US-OK,Tulsa,KTUL,TUL,KTUL,TUL,"36.19839859008789, -95.88809967041016",36.19839859008789,-95.88809967041016,0.0
3611,,836874.9651995656,-5557918.144150373,3004823.970220646,FLORIDA,ORLANDO,2023-06-27,ISM,W BOUND,1850E,KISSIMMEE ATCT,,,AT 500 FEET,KISM,medium_airport,82.0,,US,US-FL,Orlando,KISM,ISM,KISM,ISM,"28.2898006439, -81.4371032715",28.2898006439,-81.4371032715,0.0
3612,,-2519947.1467874176,-4658990.376359751,3541157.25934139,CALIFORNIA,LOS ANGELES,2023-06-27,LAX,WSW BOUND,1711P,SOCAL TRACON,LAX - JAC,38 WSW LAX,"AT 11,500 FEET",KLAX,large_airport,125.0,,US,US-CA,Los Angeles,KLAX,LAX,KLAX,LAX,"33.942501, -118.407997",33.942501,-118.407997,0.0
3613,,1326811.6669172912,-4645742.355854818,4149845.540695492,NEW JERSEY,TETERBORO,2023-06-28,TEB,,1155E,TETERBORO ATCT,,,"AT 2,000 FEET",KTEB,medium_airport,9.0,,US,US-NJ,Teterboro,KTEB,TEB,KTEB,TEB,"40.850101, -74.060799",40.850101,-74.060799,0.0
3614,,-2519947.1467874176,-4658990.376359751,3541157.25934139,CALIFORNIA,LOS ALAMITOS,2023-06-28,LAX,NORTHWEST BOUND,1816P,SOCAL TRACON,NTAA - LAX,8 SSE LOS ALAMITOS,,KLAX,large_airport,125.0,,US,US-CA,Los Angeles,KLAX,LAX,KLAX,LAX,"33.942501, -118.407997",33.942501,-118.407997,0.0
3615,,-656833.8325285534,-5320307.282765238,3444354.335294477,NEVADA,LAS VEGAS,2023-06-28,DFW,WSW BOUND,1935P,LAS VEGAS TRACON,DFW - LAS,32 ENE LAS,"AT 10,000 FEET",KDFW,large_airport,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,KDFW,DFW,"32.896801, -97.038002",32.896801,-97.038002,0.0
3616,,-1809999.759405166,-4484443.026800817,4144698.850798075,ARIZONA,GLENDALE,2023-06-29,SLC,S BOUND,1020M,GLENDALE FCT,SLC - GEU,,"AT 2,200 FEET",KSLC,large_airport,4227.0,,US,US-UT,Salt Lake City,KSLC,SLC,KSLC,SLC,"40.78886, -111.979866",40.78886,-111.979866,0.0
3617,,1037968.7444293384,-4731504.30423297,4135319.606695945,NEW YORK,NEW YORK,2023-06-29,RED,SW BOUND,1610E,JF KENNEDY ATCT,"WARSAW, POLAND (EPWA) - JFK",1 NE JFK,AT 700 FEET,KRVL,small_airport,819.0,,US,US-PA,Reedsville,KRVL,RED,KRVL,RVL,"40.6773986816, -77.6268005371",40.6773986816,-77.6268005371,0.0
3618,,1248754.1762896592,-4740108.618857455,4067079.5354368472,NEW JERSEY,WOODSTOWN,2023-06-29,PHL,NNE BOUND,1834E,PHILADELPHIA ATCT,"ORANJESTAD, ARUBA (TNCA) - PHL",18 ESE WOODSTOWN VOR,"AT 8,000 FEET",KPHL,large_airport,36.0,,US,US-PA,Philadelphia,KPHL,PHL,KPHL,PHL,"39.871899, -75.241096",39.871899,-75.241096,0.0
3619,,-254419.2825207117,-4519849.508124145,4477915.174797111,ARIZONA,PHOENIX,2023-06-29,MSP,W BOUND,1825M,PHOENIX ATCT,MSP - PHX,3 E PHX,"AT 1,100 FEET",KMSP,large_airport,841.0,,US,US-MN,Minneapolis,KMSP,MSP,KMSP,MSP,"44.880081, -93.221741",44.880081,-93.221741,0.0
3620,,-2433941.742821352,-3755112.1265350836,4529615.331194252,OREGON,PORTLAND,2023-06-29,HIO,NW BOUND,1938P,HILLSBORO ATCT,HIO - HIO,,AT 500 FEET,KHIO,medium_airport,208.0,,US,US-OR,Portland,KHIO,HIO,KHIO,HIO,"45.540401, -122.949997",45.540401,-122.949997,0.0
3621,,-2454014.598515506,-4777046.091509876,3429143.4312611683,CALIFORNIA,SAN JOSE,2023-06-30,SAN,WSW BOUND,1351P,OAKLAND ARTCC,,5 W SAN JOSE,"AT 14,000 FEET",KSAN,large_airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441",32.7336006165,-117.190002441,0.0
3622,10/1/2020,-492751.24311963265,-4773065.398098119,4187777.5388036473,NEW YORK,WESTHAMPTON BEACH,,OMA,,1411E,NEW YORK TRACON,FOK - OMA,,"AT 1,200 FEET",KOMA,large_airport,984.0,,US,US-NE,Omaha,KOMA,OMA,KOMA,OMA,"41.3032, -95.894096",41.3032,-95.894096,0.0
3623,10/1/2020,-708452.1322544299,-5094764.5189340785,3758575.99509288,COLORADO,COLORADO SPRINGS,,END,,1401M,COLORADO SPRINGS ATCT,,,"AT 7,200 FEET",KEND,medium_airport,1307.0,,US,US-OK,Enid,KEND,END,KEND,END,"36.339199, -97.916496",36.339199,-97.916496,0.0
3624,10/2/2020,-1134529.465032143,-5291657.46323454,3363863.0320020965,COLORADO,DENVER,,MDD,W BOUND,1056M,DEN TRACON,MDD - APA,8 S CENTENNIAL ARPT,"AT 10,000 FEET",KMDD,small_airport,2803.0,,US,US-TX,Midland,KMDD,MDD,KMDD,MDD,"32.0364990234, -102.100997925",32.0364990234,-102.100997925,0.0
3625,10/2/2020,-769580.5059462583,-5201159.398821019,3598478.605609203,ARIZONA,PRESCOTT,,LAW,,1343M,PRESCOTT ATCT,,3 S PRESCOTT ARPT,"AT 6,000 FEET",KLAW,medium_airport,1110.0,,US,US-OK,Lawton,KLAW,LAW,KLAW,LAW,"34.567699, -98.416603",34.567699,-98.416603,0.0
3626,10/2/2020,-2729.1516836052456,-5525904.360113052,3174443.3568640826,MASSACHUSETTS,NEW BEDFORD,,NEW,NE BOUND,1732E,NEW BEDFORD ATCT,,,"AT 1,400 FEET",KNEW,medium_airport,8.0,,US,US-LA,New Orleans,KNEW,NEW,KNEW,NEW,"30.042400360107, -90.028297424316",30.042400360107,-90.028297424316,0.0
3627,10/2/2020,-495337.0869501024,-4786325.091244639,4172413.7780925957,FLORIDA,NEW SMYRNA BEACH,,OFF,WSW BOUND,2004E,NEW SMYRNA BEACH ATCT,,1 N EVB,AT 800 FEET,KOFF,medium_airport,1052.0,,US,US-NE,Omaha,KOFF,OFF,KOFF,OFF,"41.119307, -95.90851",41.119307,-95.90851,0.0
3628,10/3/2020,460925.7395353502,-4938452.694885477,3996525.9055521237,NEW JERSEY,READINGTON,,CVG,,1050E,NEW YORK ARTCC,EWR - CVG,8 N READINGTON,"AT 17,000 FEET",KCVG,large_airport,896.0,,US,US-KY,Cincinnati / Covington,KCVG,CVG,KCVG,CVG,"39.048801, -84.667801",39.048801,-84.667801,0.0
3629,10/3/2020,1604510.9381945212,-4461928.201052746,4251535.350806693,MASSACHUSETTS,BOSTON,,PVC,,1520E,BOS ATCT,PVC - BOS,,"AT 1,200 FEET",KPVC,small_airport,9.0,,US,US-MA,Provincetown,KPVC,PVC,KPVC,PVC,"42.0718994141, -70.2213973999",42.0718994141,-70.2213973999,0.0
3630,10/3/2020,821199.6189342429,-5151732.709206635,3657289.5608440684,NORTH CAROLINA,CHARLOTTE,,CLT,WSW BOUND,1259E,CLT ATCT,,5 E CLT,"AT 3,500 FEET",KCLT,large_airport,748.0,,US,US-NC,Charlotte,KCLT,CLT,KCLT,CLT,"35.2140007019043, -80.94309997558594",35.2140007019043,-80.94309997558594,0.0
3631,10/3/2020,1604510.9381945212,-4461928.201052746,4251535.350806693,MASSACHUSETTS,BOSTON,,PVC,,1530E,BOSTON ATCT,PVC - BOS,,AT 900 FEET,KPVC,small_airport,9.0,,US,US-MA,Provincetown,KPVC,PVC,KPVC,PVC,"42.0718994141, -70.2213973999",42.0718994141,-70.2213973999,0.0
3632,10/3/2020,1381731.3786823743,-4638887.812370671,4139646.9984199675,NEW YORK,FARMINGDALE,,FRG,,1536E,FARMINGDALE ATCT,PSF - FRG,,,KFRG,medium_airport,82.0,,US,US-NY,Farmingdale,KFRG,FRG,KFRG,FRG,"40.7288017273, -73.4133987427",40.7288017273,-73.4133987427,0.0
3633,10/3/2020,-2193330.55848725,-4671257.253408044,3735670.896883552,NEVADA,LAS VEGAS,,LAS,WNW BOUND,2212P,LAS VEGAS TRACON,,10 SE LAS,"AT 2,500 FEET",KLAS,large_airport,2181.0,,US,US-NV,Las Vegas,KLAS,LAS,KLAS,LAS,"36.083361, -115.151817",36.083361,-115.151817,0.0
3634,10/4/2020,-2454014.598515506,-4777046.091509876,3429143.4312611683,NEW JERSEY,NEWARK,,SAN,,0829E,NEW YORK TRACON,EWR - SAN,3 NE EWR,"AT 2,500 FEET",KSAN,large_airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441",32.7336006165,-117.190002441,0.0
3635,10/4/2020,667806.5665590948,-5219837.740713112,3591798.1014965763,CALIFORNIA,RIVERSIDE,,AND,NNW BOUND,0700P,,"HONOLULU, HI - RIV",,"AT 6,000 FEET",KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
3636,10/4/2020,667806.5665590948,-5219837.740713112,3591798.1014965763,FLORIDA,MIAMI,,AND,E BOUND,1225E,MIAMI TRACON,,20 NW MIAMI,"AT 2,000 FEET",KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
3637,10/4/2020,1141653.5795305262,-4817626.109274728,4007431.145863574,MARYLAND,BALTIMORE,,BWI,SOUTHEAST BOUND,1325E,POTOMAC TRACON,,17 SE BWI,,KBWI,large_airport,146.0,,US,US-MD,Baltimore,KBWI,BWI,KBWI,BWI,"39.1754, -76.668297",39.1754,-76.668297,0.0
3638,10/4/2020,904921.4548927556,-5953780.046757389,2093967.818865866,OKLAHOMA,CLAREMORE,,GCM,E BOUND,1244C,TULSA ATCT,,8 NW GCM,"AT 1,800 FEET",MWCR,large_airport,8.0,,KY,KY-GC,George Town,MWCR,GCM,MWCR,,"19.292801, -81.357697",19.292801,-81.357697,0.0
3639,10/4/2020,-495337.0869501024,-4786325.091244639,4172413.7780925957,MASSACHUSETTS,BOSTON,,OFF,N BOUND,1431E,BOSTON ATCT,,2 WNW BOS,AT 600 FEET,KOFF,medium_airport,1052.0,,US,US-NE,Omaha,KOFF,OFF,KOFF,OFF,"41.119307, -95.90851",41.119307,-95.90851,0.0
3640,10/4/2020,1321222.9783257875,-4363244.732537934,4445660.593136875,CONNECTICUT,GROTON,,BTV,SW BOUND,1725E,PROVIDENCE TRACON,BTV - ISP,5 N GROTON,"AT 8,000 FEET",KBTV,medium_airport,335.0,,US,US-VT,South Burlington,KBTV,BTV,KBTV,BTV,"44.471901, -73.153297",44.471901,-73.153297,0.0
3641,10/4/2020,317514.81653205754,-4902553.286241792,4053890.7379439357,INDIANA,INDIANAPOLIS,,IND,W BOUND,1805E,INDIANAPOLIS ATCT,,3 N IND,"AT 1,500 FEET",KIND,large_airport,797.0,,US,US-IN,Indianapolis,KIND,IND,KIND,IND,"39.7173, -86.294403",39.7173,-86.294403,0.0
3642,10/4/2020,173608.36681863395,-4745414.516439142,4243837.110751165,ILLINOIS,CHICAGO,,ORD,NORTHEAST BOUND,1712C,CHICAGO TRACON,XNA - ORD,10 SW ORD,"AT 11,000 FEET",KORD,large_airport,680.0,,US,US-IL,Chicago,KORD,ORD,KORD,ORD,"41.9786, -87.9048",41.9786,-87.9048,0.0
3643,10/4/2020,732536.5429070785,-5589194.215422003,2974107.738856263,FLORIDA,TAMPA,,TPA,N BOUND,1815E,TAMPA APCH,"TALLAHASSEE, FL (TLH) - TPA",,AT 900 FEET,KTPA,large_airport,26.0,,US,US-FL,Tampa,KTPA,TPA,KTPA,TPA,"27.9755, -82.533203",27.9755,-82.533203,0.0
3644,10/5/2020,-656833.8325285534,-5320307.282765238,3444354.335294477,TEXAS,DALLAS-FORT WORTH,,DFW,S BOUND,0845C,,TLH - DFW,8 N DFW,"AT 2,000 FEET",KDFW,large_airport,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,KDFW,DFW,"32.896801, -97.038002",32.896801,-97.038002,0.0
3645,10/5/2020,951504.375470691,-4988150.283251812,3846287.061859422,VIRGINIA,LYNCHBURG,,LYH,NW BOUND,1100E,LYNCHBURG ATCT,,,"AT 1,800 FEET",KLYH,medium_airport,938.0,,US,US-VA,Lynchburg,KLYH,LYH,KLYH,LYH,"37.326698, -79.200401",37.326698,-79.200401,0.0
3646,10/5/2020,667806.5665590948,-5219837.740713112,3591798.1014965763,FLORIDA,DELAND,,AND,,,,,,,KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
3647,10/5/2020,-656833.8325285534,-5320307.282765238,3444354.335294477,COLORADO,COLORADO SPRINGS,,DFW,SW BOUND,1742M,COLORADO SPRINGS TRACON,DFW - COS,10 SE COS,"AT 8,800 FEET",KDFW,large_airport,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,KDFW,DFW,"32.896801, -97.038002",32.896801,-97.038002,0.0
3648,10/6/2020,-1241829.507731127,-4742677.971129063,4066210.206869713,ILLINOIS,CHICAGO,,DEN,E BOUND,1217C,CHICAGO TRACON,DEN - RDM,18 E ORD,"AT 6,000 FEET",KDEN,large_airport,5431.0,,US,US-CO,Denver,KDEN,DEN,KDEN,DEN,"39.861698150635, -104.672996521",39.861698150635,-104.672996521,0.0
3649,10/6/2020,667806.5665590948,-5219837.740713112,3591798.1014965763,NEW YORK,FARMINGDALE,,AND,,1429E,FARMINGDALE ATCT,,,"AT 1,100 FEET",KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
3650,10/6/2020,-2309663.0271417983,-3652075.2855080604,4675585.693572231,WASHINGTON,SEATTLE,,SEA,NNW BOUND,1724P,SEATTLE ATCT,SAN - SEA,,AT 900 FEET,KSEA,large_airport,433.0,,US,US-WA,Seattle,KSEA,SEA,KSEA,SEA,"47.447943, -122.310276",47.447943,-122.310276,0.0
3651,10/6/2020,-2309663.0271417983,-3652075.2855080604,4675585.693572231,WASHINGTON,SEATTLE,,SEA,NNW BOUND,1729P,SEA ATCT,ANC - SEA,,AT 400 FEET,KSEA,large_airport,433.0,,US,US-WA,Seattle,KSEA,SEA,KSEA,SEA,"47.447943, -122.310276",47.447943,-122.310276,0.0
3652,10/6/2020,-2483622.857626702,-4697089.870401489,3516568.4290128825,CALIFORNIA,ONTARIO,,SNA,W BOUND,1900P,SOCAL TRACON,"BERMUDA DUNES ARPT, PALM SPRINGS, CA (UDD) - SANTA ANA, CA (SNA)",5 E PARADISE VORTAC (PDZ),"AT 5,000 FEET",KSNA,large_airport,56.0,,US,US-CA,Santa Ana,KSNA,SNA,KSNA,SNA,"33.675701, -117.867996",33.675701,-117.867996,0.0
3653,10/7/2020,460925.7395353502,-4938452.694885477,3996525.9055521237,ILLINOIS,CHICAGO,,CVG,W BOUND,1205C,CHICAGO TRACON,CVG - ORD,10 E CHICAGO,"AT 4,000 FEET",KCVG,large_airport,896.0,,US,US-KY,Cincinnati / Covington,KCVG,CVG,KCVG,CVG,"39.048801, -84.667801",39.048801,-84.667801,0.0
3654,10/7/2020,-2309663.0271417983,-3652075.2855080604,4675585.693572231,CALIFORNIA,LOS ANGELES,,SEA,ENE BOUND,1656P,SOCAL TRACON,SEA - LAX,7 NE LAX,"AT 5,800 FEET",KSEA,large_airport,433.0,,US,US-WA,Seattle,KSEA,SEA,KSEA,SEA,"47.447943, -122.310276",47.447943,-122.310276,0.0
3655,10/8/2020,821199.6189342429,-5151732.709206635,3657289.5608440684,NORTH CAROLINA,CHARLOTTE,,CLT,N BOUND,1324E,CHARLOTTE ATCT,BUF - CLT,4 S CLT,"AT 2,300 FEET",KCLT,large_airport,748.0,,US,US-NC,Charlotte,KCLT,CLT,KCLT,CLT,"35.2140007019043, -80.94309997558594",35.2140007019043,-80.94309997558594,0.0
3656,10/8/2020,-656833.8325285534,-5320307.282765238,3444354.335294477,TEXAS,FORT WORTH,,DFW,SSE BOUND,1830C,ALLIANCE ATCT,,,"AT 2,500 FEET",KDFW,large_airport,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,KDFW,DFW,"32.896801, -97.038002",32.896801,-97.038002,0.0
3657,10/8/2020,-2601525.9568682434,-4337550.271716783,3872631.898569278,CALIFORNIA,MODESTO,,MOD,NW BOUND,1720P,NORCAL TRACON,,15 W MOD,"AT 4,500 FEET",KMOD,medium_airport,97.0,,US,US-CA,Modesto,KMOD,MOD,KMOD,MOD,"37.625801, -120.954002",37.625801,-120.954002,0.0
3658,10/8/2020,1209785.4006655358,-4958714.080501657,3811860.277667823,VIRGINIA,NORFOLK,,NGU,ESE BOUND,2212E,NORFOLK NAVAL STATION ATCT,NGU - NGU,6 W NORFOLK NAVAL STATION,"AT 1,500 FEET",KNGU,medium_airport,17.0,,US,US-VA,Norfolk,KNGU,NGU,KNGU,NGU,"36.937599, -76.289299",36.937599,-76.289299,0.0
3659,10/10/2020,796785.7028615525,-5535263.721002079,3056738.161329145,FLORIDA,FORT MYERS,,LEE,WSW BOUND,1123E,FORT MYERS ATCT,ATL - RSW,4 NE RSW,"AT 1,100 FEET",KLEE,medium_airport,76.0,,US,US-FL,Leesburg,KLEE,LEE,KLEE,LEE,"28.82309914, -81.80870056",28.82309914,-81.80870056,0.0
3660,10/10/2020,795226.1485410878,-5442971.9515752,3217535.1496391,FLORIDA,JACKSONVILLE,,JAX,SE BOUND,1130E,JACKSONVILLE APCH,BNA - JAX,5 NNW JAX,"AT 2,000 FEET",KJAX,large_airport,30.0,,US,US-FL,Jacksonville,KJAX,JAX,KJAX,JAX,"30.492469, -81.687813",30.492469,-81.687813,0.0
3661,10/10/2020,1353884.1291000585,-4653828.513130076,4132122.5075626075,NEW YORK,NEW YORK,,JFK,,,JFK ATCT,"LEIPZIG, GERMANY (EDDP) - JFK",,,KJFK,large_airport,13.0,,US,US-NY,New York,KJFK,JFK,KJFK,JFK,"40.639447, -73.779317",40.639447,-73.779317,0.0
3662,10/10/2020,754083.8219813273,-5522290.068646494,3090619.0967281843,FLORIDA,OCALA,,OCF,NE BOUND,1530E,JACKSONVILLE APCH,CLW - UNKN,37 SSW OCF,"AT 7,500 FEET",KOCF,small_airport,90.0,,US,US-FL,Ocala,KOCF,OCF,KOCF,OCF,"29.17259979, -82.22419739",29.17259979,-82.22419739,0.0
3663,10/10/2020,-2729.1516836052456,-5525904.360113052,3174443.3568640826,NEW JERSEY,MORRISTOWN,,NEW,NE BOUND,1620E,MORRISTOWN ATCT,,,"AT 1,200 FEET",KNEW,medium_airport,8.0,,US,US-LA,New Orleans,KNEW,NEW,KNEW,NEW,"30.042400360107, -90.028297424316",30.042400360107,-90.028297424316,0.0
3664,10/11/2020,795226.1485410878,-5442971.9515752,3217535.1496391,FLORIDA,MIAMI,,JAX,N BOUND,1007E,MIAMI TRACON,MIA - JAX,7 WNW MIA,"AT 4,000 FEET",KJAX,large_airport,30.0,,US,US-FL,Jacksonville,KJAX,JAX,KJAX,JAX,"30.492469, -81.687813",30.492469,-81.687813,0.0
3665,10/11/2020,-2454014.598515506,-4777046.091509876,3429143.4312611683,TEXAS,SAN ANTONIO,,SAN,SW BOUND,1234C,SAN ANTONIO APCH,,29 ENE SAT,"AT 11,000 FEET",KSAN,large_airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441",32.7336006165,-117.190002441,0.0
3666,10/11/2020,-2454014.598515506,-4777046.091509876,3429143.4312611683,CALIFORNIA,SAN JOSE,,SAN,NW BOUND,1625P,SAN LUIS OBISPO ATCT,,7 SW OF SAN JOSE,"AT 6,200 FEET",KSAN,large_airport,17.0,,US,US-CA,San Diego,KSAN,SAN,KSAN,SAN,"32.7336006165, -117.190002441",32.7336006165,-117.190002441,0.0
