,Day of Sighting,State,City,Summary,Date,code,Direction,Time,Authority Advised,Route,Location,Altitude
3831,,VIRGINIA,RICHMOND,"PRELIM INFO FROM FAA OPS: RICHMOND, VA/UAS SIGHTING/1715E/RICHMOND ATCT ADVISED, HAWK, GSP - RIC, REPORTED UAS WHILE SSE BOUND AT 1,800 FEET 15 SSE RIC. NO EVASIVE ACTION TAKEN.  CHARLES CITY PD NOTIFIED.",2023-05-05,GSP,SSE BOUND,1715E,RICHMOND ATCT,"HAWK, GSP - RIC",15 SSE RIC,"AT 1,800 FEET"
3833,,COLORADO,DENVER,"PRELIM INFO FROM FAA OPS: DENVER, CO/UAS SIGHTING/2125M/DENVER ATCT REPORTED ACFT OBSERVED A UAS 100 FEET ABOVE RUNWAY 25 AT DENVER INTL ARPT (DEN). PIC OF BOTH ACFT DELAYED DEPARTURE. ATC ISSUED ADVISORIES TO TRAFFIC WITHIN VCNTY. ARPT PD NOTIFIED.",2023-05-05,DEN,,2125M,,,,
3834,,COLORADO,DENVER,"PRELIM INFO FROM FAA OPS: DENVER, CO/UAS SIGHTING/2136M/DENVER ATCT ADVISED, B739, LAX - DEN, REPORTED A UAS WHILE NNW BOUND AT 6,100 FEET ON FINAL DEN. NO EVASIVE ACTION TAKEN. DENVER INTL ARPT PD NOTIFIED.",2023-05-05,LAX,NNW BOUND,2136M,DENVER ATCT,LAX - DEN,,"AT 6,100 FEET"
3835,,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS SIGHTING/1245E/ORLANDO ATCT ADVISED, BCS3, BOS - MCO, REPORTED A WHITE UAS AT THE 3 O'CLOCK POSITION WHILE N BOUND AT 500 FEET 2 MILE FINAL RUNWAY 36L. NO EVASIVE ACTION TAKEN. ORANGE COUNTY SHERIFF NOTIFIED.",2023-05-06,MCO,N BOUND,1245E,ORLANDO ATCT,BOS - MCO,,AT 500 FEET
3836,,ARIZONA,MESA,"PRELIM INFO FROM FAA OPS: MESA, AZ/UAS SIGHTING/1204M/FALCON ATCT ADVISED, CESSNA C172, REPORTED A WHITE UAS WHILE NE BOUND AT 2,500 FEET 1 W FFZ. NO EVASIVE ACTION TAKEN. MESA PD NOTIFIED.",2023-05-06,FFZ,NE BOUND,1204M,FALCON ATCT,,1 W FFZ,"AT 2,500 FEET"
3837,,ALABAMA,BIRMINGHAM,"PRELIM INFO FROM FAA OPS: BIRMINGHAM, AL/UAS SIGHTING/2038C/BIRMINGHAM ATCT ADVISED, BELL B407, AL38 - CMD, REPORTED UAS AT THE 12 O'CLOCK POSITION WHILE N BOUND AT 1,000 FEET 4 SSW BHM. NO EVASIVE ACTION TAKEN. BIRMINGHAM PD NOTIFIED.",2023-05-06,CMD,N BOUND,2038C,BIRMINGHAM ATCT,,4 SSW BHM,"AT 1,000 FEET"
3838,,TEXAS,BROWNSVILLE,"PRELIM INFO FROM FAA OPS: BROWNSVILLE, TX/UAS SIGHTING/1130C/CORPUS CHRISTI ATCT ADVISED, CRJ9, IAH - BRO, REPORTED A UAS WHILE SW BOUND AT 2,000 FEET 14 N BRO. NO EVASIVE ACTION TAKEN. CAMERON COUNTY SHERIFF NOTIFIED.",2023-05-07,IAH,SW BOUND,1130C,CORPUS CHRISTI ATCT,IAH - BRO,14 N BRO,"AT 2,000 FEET"
3839,,NEW YORK,FARMINGDALE,"PRELIM INFO FROM FAA OPS: FARMINGDALE, NY/UAS SIGHTING/1359E/NEW YORK TRACON ADVISED, E190, ATL - JFK, REPORTED A BLACK UAS FROM THE 10 O'CLOCK POSITION WHILE WNW BOUND AT 5,000 FEET VCNTY FRG. NO EVASIVE ACTION TAKEN. SUFFOLK COUNTY PD NOTIFIED.",2023-05-07,ATL,WNW BOUND,1359E,NEW YORK TRACON,ATL - JFK,,"AT 5,000 FEET"
3840,,NEW YORK,DEER PARK,"PRELIM INFO FROM FAA OPS: DEER PARK, NY/UAS SIGHTING/1406E/BOSTON ARTCC ADVISED, B744, JFK - WALLONIA, BELGIUM (EBLG), REPORTED A BLACK AND ORANGE UAS FROM THE 12 O'CLOCK POSITION WHILE NE BOUND AT 15,000 FEET 15 SE DEER PARK VOR. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION REPORTED.",2023-05-07,AND,NE BOUND,1406E,BOSTON ARTCC,"JFK - WALLONIA, BELGIUM (EBLG)",15 SE DEER PARK VOR,"AT 15,000 FEET"
3841,,OHIO,AKRON,"PRELIM INFO FROM FAA OPS: AKRON, OH/UAS SIGHTING/LATE REPORT-1426E/CLEVELAND TRACON ADVISED, CESSNA C56X, FWA - CAK, REPORTED A WHITE UAS FROM THE 12 O'CLOCK POSITION WHILE S BOUND AT 3,500 FEET VCNTY AKR. NO EVASIVE ACTION REPORTED. LEO NOTIFIED.",2023-05-07,AKR,S BOUND,,CLEVELAND TRACON,FWA - CAK,,"AT 3,500 FEET"
3842,,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1721E/ATLANTA ARTCC ADVISED, A333, ATL - ROME, ITALY (LIRF), REPORTED A UAS FROM THE LEFT SIDE WHILE NE BOUND AT 11,000 FEET 23 SE ATL. NO EVASIVE ACTIONTAKEN. LOCAL LEO NOTIFIED.",2023-05-07,ATL,NE BOUND,1721E,ATLANTA ARTCC,"ATL - ROME, ITALY (LIRF)",23 SE ATL,"AT 11,000 FEET"
3843,,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS SIGHTING/2036P/SEATTLE TRACON ADVISED, A21N, CANCUN, MEXICO (MMUN) - SEA, REPORTED A WHITE UAS FROM THE 3 O'CLOCK POSITION WHILE S BOUND AT 4,000 FEET 10 NNW SEA. NO EVASIVE ACTION TAKEN. 911 NOTIFIED.",2023-05-07,SEA,S BOUND,2036P,SEATTLE TRACON,"CANCUN, MEXICO (MMUN) - SEA",10 NNW SEA,"AT 4,000 FEET"
3844,,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS SIGHTING/2040P/SEATTLE TRACON ADVISED, B39M, IAD - SEA, REPORTED 3 UAS FROM THE 3 O'CLOCK POSITION WHILE S BOUND AT 4,000 FEET 10 NNW SEA. NO EVASIVE ACTION TAKEN. 911 NOTIFIED.",2023-05-07,IAD,S BOUND,2040P,SEATTLE TRACON,IAD - SEA,10 NNW SEA,"AT 4,000 FEET"
3845,,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS SIGHTING/2038P/SEATTLE TRACON ADVISED, E75L, BOI - SEA, REPORTED A WHITE UAS FROM THE 3 O'CLOCK POSITION WHILE S BOUND AT 4,000 FEET 10 NNW SEA. NO EVASIVE ACTION TAKEN. 911 NOTIFIED.",2023-05-07,SEA,S BOUND,2038P,SEATTLE TRACON,BOI - SEA,10 NNW SEA,"AT 4,000 FEET"
3846,,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS SIGHTING/0902E/CENTRAL FLORIDA TRACON ADVISED, CESSNA C77R, REPORTED A RED UAS WHILE W BOUND AT 1,900 FEET 5 E ORL. NO EVASIVE ACTION REPORTED. ORLANDO PD NOTIFIED.",2023-05-08,RED,W BOUND,0902E,CENTRAL FLORIDA TRACON,,5 E ORL,"AT 1,900 FEET"
3847,,NORTH CAROLINA,RALEIGH/DURHAM,"PRELIM INFO FROM FAA OPS: RALEIGH/DURHAM, NC/UAS SIGHTING/1122E/RALEIGH-DURHAM ATCT ADVISED, A320, DEN - RDU, REPORTED A BLACK-RED UAS AT SAME ALTITUDE, 200 FEET FROM THEIR 3 O'CLOCK POSITION WHILE SW BOUND AT 2,000 FEET 5.5 N RDU. NO EVASIVE ACTION REPORTED. WAKE COUNTY SHERIFF NOTIFIED.",2023-05-08,DEN,SW BOUND,1122E,,DEN - RDU,,"AT 2,000 FEET"
3848,,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS SIGHTING/1430P/SEATTLE TRACON ADVISED, CESSNA C172, REPORTED WHITE AND GOLD UAS 1,500 FEET BELOW ACFT AT THE 3 O'CLOCK POSITION WHILE NE BOUND AT 3,000 FEET 16 SSE SEA. NO EVASIVE ACTION REPORTED. PORT OF SEATTLE PD NOTIFIED.",2023-05-08,SEA,NE BOUND,1430P,SEATTLE TRACON,,16 SSE SEA,"AT 3,000 FEET"
3849,,MINNESOTA,MONTEVIDEO,"PRELIM INFO FROM FAA OPS: MONTEVIDEO, MN/UAS SIGHTING/2255C/MINNEAPOLIS ARTCC ADVISED, PIPER P28A, REPORTED A WHITE UAS FROM THE 3 O'CLOCK POSITION WHILE NE BOUND AT 5,500 FEET 17 NNE MVE. NO EVASIVE ACTION TAKEN. CHIPPEWA CO. SHERIFF NOTIFIED.",2023-05-08,MVE,NE BOUND,2255C,MINNEAPOLIS ARTCC,,17 NNE MVE,"AT 5,500 FEET"
3850,,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/0651E/NEW YORK TRACON ADVISED, A320, AQUADILLA, PR (TJBQ) - JFK, REPORTED A UAS AT THE 10 O'CLOCK POSITION WHILE N BOUND AT 3,000 FEET 20 SSW JFK. NO EVASIVE ACTION TAKEN. NEW JERSEY STATE PD NOTIFIED.",2023-05-09,NEW,N BOUND,0651E,NEW YORK TRACON,"AQUADILLA, PR (TJBQ) - JFK",20 SSW JFK,"AT 3,000 FEET"
3851,,CALIFORNIA,SAN JOSE,"PRELIM INFO FROM FAA OPS: SAN JOSE, CA/UAS SIGHTING/1613P/SAN JOSE ATCT ADVISED, B738, EUG - SJC, REPORTED A UAS FROM T HE 9 O'CLOCK POSITION WHILE NNE BOUND AT 3,500 FEET 9 S SJC. NO EVASIVE ACTION TAKEN. SAN JOSE PD NOTIFIED.",2023-05-09,SAN,NNE BOUND,1613P,SAN JOSE ATCT,EUG - SJC,9 S SJC,"AT 3,500 FEET"
3852,,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1917E/LAGUARDIA ATCT ADVISED, B737, MCI - LGA, REPORTED A BLUE UAS FROM THE 3 O'CLOCK POSITION WHILE SE BOUND AT 2,500 FEET 5 N LGA. NO EVASIVE ACTION TAKEN. PORT AUTHORITY NOTIFIED.",2023-05-09,LGA,SE BOUND,1917E,LAGUARDIA ATCT,MCI - LGA,5 N LGA,"AT 2,500 FEET"
3853,,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1919E/LAGUARDIA ATCT ADVISED, CRJ9, BNA - LGA, REPORTED A BLUE UAS FROM THE 3 O'CLOCK POSITION WHILE SE BOUND AT 2,500 FEET 5 N LGA. NO EVASIVE ACTION TAKEN. PORT AUTHORITY NOTIFIED.",2023-05-09,BNA,SE BOUND,1919E,LAGUARDIA ATCT,BNA - LGA,5 N LGA,"AT 2,500 FEET"
3854,,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/2038E/ATLANTA TRACON ADVISED, A320, MDW - ATL, REPORTED A UAS FROM THE 12 O'CLOCK POSITION WHILE W BOUND AT 5,000 FEET 15 E ATL. NO EVASIVE ACTION REPORTED. DEKALB COUNTY SHERIFF NOTIFIED.",2023-05-09,ATL,W BOUND,2038E,ATLANTA TRACON,MDW - ATL,15 E ATL,"AT 5,000 FEET"
3855,,NORTH CAROLINA,CONCORD,"PRELIM INFO FROM FAA OPS: CONCORD, NC/UAS SIGHTING/1939E/CONCORD ATCT ADVISED, DASSAULT FA7X, TEB - JQF, REPORTED A POSSIBLE UAS OR BALLOON WHILE WNW BOUND AT 2,000 FEET ON FINAL RUNWAY 2. NO EVASIVE ACTION TAKEN. 911 NOTIFIED.",2023-05-09,TEB,WNW BOUND,1939E,CONCORD ATCT,TEB - JQF,,"AT 2,000 FEET"
3856,,ILLINOIS,PEORIA,"PRELIM INFO FROM FAA OPS: PEORIA, IL/UAS SIGHTING/2210C/ST LOUIS TRACON ADVISED, HELO, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE N BOUND AT 1,000 FEET 7 NNE PIA. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2023-05-09,PIA,N BOUND,2210C,ST LOUIS TRACON,,7 NNE PIA,"AT 1,000 FEET"
3857,,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/0805E/LAGUARDIA ATCT ADVISED, CRJ9, TYS - LGA, REPORTED UAS OFF RIGHT SIDE WHILE N BOUND AT 700 FEET 2.7 NNE LGA. NO EVASIVE ACTION TAKEN. NEW YORK PD AVIATION UNIT NOTIFIED.",2023-05-10,LGA,N BOUND,0805E,LAGUARDIA ATCT,TYS - LGA,,AT 700 FEET
3858,,INDIANA,PERU,"PRELIM INFO FROM FAA OPS: PERU, IN/UAS SIGHTING/0911E/GRISSOM RAPCON ADVISED, CESSNA C172, REPORTED A SILVER UAS AT THE 12 O'CLOCK POSITION 500 FEET ABOVE WHILE N BOUND AT 5,000 FEET 5 S GUS. NO EVASIVE ACTION TAKEN. GRISSOM AFB SECURITY FORCES NOTIFIED.",2023-05-10,GUS,N BOUND,0911E,GRISSOM RAPCON,,5 S GUS,"AT 5,000 FEET"
3859,,FLORIDA,TAMPA,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS SIGHTING/1108E/TPA ACPH ADVISED, CESSNA C68A, TPA - TPA, REPORTED A MEDIUM SIZED UAS WITH PURPLE LIGHTING AT THE 3 O'CLOCK POSITION WHILE W BOUND AT 3,000 FEET 18 S TPA. NO EVASIVE ACTION TAKEN. TAMPA FBI OFFICE NOTIFIED.",2023-05-10,TPA,W BOUND,1108E,TPA ACPH,TPA - TPA,18 S TPA,"AT 3,000 FEET"
3860,,ARIZONA,PHOENIX,"PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS SIGHTING/0828M/ALBUQUERQUE ARTCC ADVISED, CESSNA C206, OBSERVED A UAS WHILE SOUTHBOUND AT10,500 FEET, 53 NE PHX. NO EVASIVE ACTION REPORTED. NO LEO NOTIFICATION PROVIDED.",2023-05-10,PHX,,0828M,ALBUQUERQUE ARTCC,,53 NE PHX,
3861,,OREGON,PORTLAND,"PRELIM INFO FROM FAA OPS: PORTLAND, OR/UAS SIGHTING/0948P/PORTLAND ATCT ADVISED, F15, REPORTED A UAS AT THE 11 O'CLOCK POSITION WHILE W BOUND AT 2,500 FEET 5 ESE PDX. NO EVASIVE ACTION TAKEN. PORT OF PORTLAND PD NOTIFIED.",2023-05-10,PDX,W BOUND,0948P,PORTLAND ATCT,,5 ESE PDX,"AT 2,500 FEET"
3862,,GEORGIA,BAINBRIDGE,"PRELIM INFO FROM FAA OPS: BAINBRIDGE, GA/UAS SIGHTING/1451E/TALLAHASSEE APCH ADVISED, CIRRUS SR22, REPORTED A BLUE AND WHITE DOUBLE WINGED UAS 100 FEET BELOW ACFT WHILE W BOUND AT 3,000 FEET 8 WSW BGE. NO EVASIVE ACTION TAKEN. DECATUR COUNTY SHERIFF NOTIFIED.",2023-05-10,BGE,W BOUND,1451E,TALLAHASSEE APCH,,8 WSW BGE,"AT 3,000 FEET"
3863,,MISSOURI,KANSAS CITY,"PRELIM INFO FROM FAA OPS: KANSAS CITY, MO/UAS SIGHTING/1320C/KANSAS DOWNTOWN ATCT ADVISED, HELO, REPORTED A WHITE UAS AT THE 3 O'CLOCK POSITION WHILE SSW BOUND AT 1,900 FEET 3 E MKC. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2023-05-10,MKC,SSW BOUND,1320C,KANSAS DOWNTOWN ATCT,,3 E MKC,"AT 1,900 FEET"
3864,,ARIZONA,GILA BEND,"PRELIM INFO FROM FAA OPS: GILA BEND, AZ/UAS SIGHTING/1134M/LUKE RAPCON ADVISED, F35, REPORTED A QUADCOPTER WHILE ENE BOUND AT FL190 41 S GILA BEND VOR. NO EVASIVE ACTION TAKEN. PIMA COUNTY SHERIFF NOTIFIED.",2023-05-10,F35,ENE BOUND,1134M,LUKE RAPCON,,41 S GILA BEND VOR,
3865,,ARIZONA,GILA BEND,"PRELIM INFO FROM FAA OPS: GILA BEND, AZ/UAS SIGHTING/1249M/ALBUQUERQUE ARTCC ADVISED, F35, REPORTED 2 QUADCOPTER UAS WHILE E BOUND AT FL220 35 E GILA BEND VORTAC (GBN). NO EVASIVE ACTION TAKEN. PIMA COUNTY SHERIFF NOTIFIED.",2023-05-10,F35,E BOUND,1249M,ALBUQUERQUE ARTCC,,35 E GILA BEND VORTAC (GBN),
3866,,ARIZONA,GILA BEND,"PRELIM INFO FROM FAA OPS: GILA BEND, AZ/UAS SIGHTING/1436M/ALBUQUERQUE ARTCC ADVISED, F35, REPORTED A SMALL WHITE UAS WHILE E BOUND AT 16,000 FEET 40 SSE GILA BEND VOR. NO EVASIVE ACTION TAKEN. TOHONO O'ODHAM PD NOTIFIED.",2023-05-10,F35,E BOUND,1436M,ALBUQUERQUE ARTCC,,40 SSE GILA BEND VOR,"AT 16,000 FEET"
3867,,GEORGIA,MACON,"PRELIM INFO FROM FAA OPS: MACON, GA/UAS SIGHTING/1817E/ATLANTA TRACON ADVISED, MITSUBISHI MU2, REPORTED A FOUR ROTOR UAS AT THE 3 O'CLOCK POSITION WHILE N BOUND AT 3,500 FEET 15 NW MCN. NO EVASIVE ACTION TAKEN. BIBB COUNTY SHERIFF NOTIFIED.",2023-05-10,MCN,N BOUND,1817E,ATLANTA TRACON,,15 NW MCN,"AT 3,500 FEET"
3868,,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/2135C/CHICAGO TRACON ADVISED, A20N, ATL - ORD, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE W BOUND AT 7,800 FEET 7 SE ORD. NO EVASIVE ACTION TAKEN. CHICAGO PD NOTIFIED.",2023-05-10,ATL,W BOUND,2135C,CHICAGO TRACON,ATL - ORD,7 SE ORD,"AT 7,800 FEET"
3869,,FLORIDA,FORT MYERS,"PRELIM INFO FROM FAA OPS: FORT MYERS, FL/UAS SIGHTING/1105E/FORT MYERS ATCT ADVISED, B737, PIT - RSW, REPORTED A WHITE UAS WHILE NE BOUND AT 900 FEET 3 WSW RSW. NO EVASIVE ACTION TAKEN. FLORIDA HIGHWAY PATROL NOTIFIED.",2023-05-11,RSW,NE BOUND,1105E,FORT MYERS ATCT,PIT - RSW,3 WSW RSW,AT 900 FEET
3870,,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS SIGHTING/1106E/CHARLESTON ATCT ADVISED, CESSNA C56X, ONTARIO, CANADA (CYYZ) - CHS, REPORTED A UAS 300-400 FEET BELOW ACFT AT THE 12 O'CLOCK POSITION WHILE SE BOUND AT 1,000 FEET 5 NNW CHS. NO EVASIVE ACTION TAKEN. CHARLESTON PD NOTIFIED.",2023-05-11,CHS,SE BOUND,1106E,CHARLESTON ATCT,"ONTARIO, CANADA (CYYZ) - CHS",5 NNW CHS,"AT 1,000 FEET"
3871,,FLORIDA,TAMPA,"PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS SIGHTING/1111E/TAMPA ATCT ADVISED, B752, TPA - ATL, REPORTED A WHITE UAS FROM THE 10 O'CLOCK POSITION WHILE S BOUND AT 2,000 FEET 9 N TPA. NO EVASIVE ACTION TAKEN. HILLSBOROUGH COUTY AIRPORT AUTHORITY NOTIFIED.",2023-05-11,ATL,S BOUND,1111E,TAMPA ATCT,TPA - ATL,9 N TPA,"AT 2,000 FEET"
3872,,LOUISIANA,NEW ORLEANS,"PRELIM INFO FROM FAA OPS: NEW ORLEANS, LA/UAS INCIDENT/1212C/LAKEFRONT ATCT ADVISED, C130,  REPORTED A UAS AT THE 12 O'CLOCK POSITION WHILE E BOUND AT 1,000 FEET 9 N HARVEY VORTAC (HRV). ACFT TURNED LEFT TO AVOID UAS. NEW ORLEANS LEVEE DISTRICT PD NOTIFIED.",2023-05-11,NEW,E BOUND,1212C,LAKEFRONT ATCT,,9 N HARVEY VORTAC (HRV),"AT 1,000 FEET"
3873,,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1340E/KENNEDY ATCT ADVISED, A320, KINGSTON, JAMAICA (MKJP) - JFK, REPORTED A DARK COLORED UAS AT THE 3 O'CLOCK POSITION 200 FEET BELOW WHILE SW BOUND AT 2,000 FEET 8 NE JFK. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2023-05-11,JFK,SW BOUND,1340E,KENNEDY ATCT,"KINGSTON, JAMAICA (MKJP) - JFK",8 NE JFK,"AT 2,000 FEET"
3874,,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS SIGHTING/1613E/MIAMI TRACON ADVISED, A20N, SJU - MIA, REPORTED A SILVER AND YELLOW UAS 500 FEET BELOW ACFT AT THE 12 O'CLOCK POSITION WHILE N BOUND AT 3,000 FEET 10 WSW MIA. NO EVASIVE ACTION TAKEN. MIAMI-DADE PD NOTIFIED.",2023-05-11,AND,N BOUND,1613E,MIAMI TRACON,SJU - MIA,10 WSW MIA,"AT 3,000 FEET"
3875,,NEW YORK,WHITE PLAINS,"PRELIM INFO FROM FAA OPS: WHITE PLAINS, NY/UAS SIGHTING/1718E/WESTCHESTER ATCT ADVISED, GULFSTREAM GLF6, REPORTED A UAS AT THE 2 O'CLOCK POSITION WHILE NNW BOUND AT 1,000 FEET 1 NW HPN. NO EVASIVE ACTION TAKEN.",2023-05-11,HPN,NNW BOUND,1718E,WESTCHESTER ATCT,,1 NW HPN,"AT 1,000 FEET"
3876,,DISTRICT OF COLUMBIA,WASHINGTON,"PRELIM INFO FROM FAA OPS: WASHINGTON, DC/UAS SIGHTING/1910E/WASHINGTON ATCT ADVISED, A320, ATL - DCA, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE SSE BOUND AT 1,200 FEET 3 NW DCA. NO EVASIVE ACTION TAKEN. ARLINGTON COUNTY PD NOTIFIED.",2023-05-11,ATL,SSE BOUND,1910E,WASHINGTON ATCT,ATL - DCA,3 NW DCA,"AT 1,200 FEET"
3877,,DISTRICT OF COLUMBIA,WASHINGTON,"PRELIM INFO FROM FAA OPS: WASHINGTON, DC/UAS SIGHTING/1910E/WASHINGTON ATCT ADVISED, CRJ9, PHL - DCA, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE SSE BOUND AT 1,200 FEET 3 NW DCA. NO EVASIVE ACTION TAKEN. ARLINGTON COUNTY PD NOTIFIED.",2023-05-11,DCA,SSE BOUND,1910E,WASHINGTON ATCT,PHL - DCA,3 NW DCA,"AT 1,200 FEET"
3878,,NEW HAMPSHIRE,PORTSMOUTH,"PRELIM INFO FROM FAA OPS: PORTSMOUTH, NH/UAS SIGHTING/1205E/BOSTON TRACON ADVISED, CESSNA C182, ASH - ASH, REPORTED A YELLOW UAS AT THE 3 O'CLOCK POSITION WHILE NW BOUND AT 2,000 FEET 6 S PORTSMOUTH. NO EVASIVE ACTION REPORTED. NEWINGTON PD NOTIFIED.",2023-05-12,ASH,NW BOUND,1205E,BOSTON TRACON,ASH - ASH,6 S PORTSMOUTH,"AT 2,000 FEET"
3879,,NEW JERSEY,NEWARK,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS SIGHTING/1750E/NEWARK ATCT ADVISED, B739, PUNTA CAUCEDO, DOMINICAN REPUBLIC (MDSD) - EWR, REPORTED A SILVER QUAD COPTER UAS FROM THE 11 O'CLOCK POSITION WHILE SW BOUND AT 1,700 FEET ON 5 MILE FINAL RUNWAY 22L EWR. NO EVASIVE ACTION TAKEN. PORT AUTHORITY OPS NOTIFIED.",2023-05-12,EWR,SW BOUND,1750E,NEWARK ATCT,"PUNTA CAUCEDO, DOMINICAN REPUBLIC (MDSD) - EWR",,"AT 1,700 FEET"
3880,,UTAH,SALT LAKE CITY,"PRELIM INFO FROM FAA OPS: SALT LAKE CITY, UT/UAS SIGHTING/1603M/SALT LAKE CITY TRACON ADVISED, BCS3, SJC - SLC, REPORTED A WHITE/BROWN UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 6,000 FEET 5 SSE SLC. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",2023-05-12,SLC,NNW BOUND,1603M,SALT LAKE CITY TRACON,SJC - SLC,5 SSE SLC,"AT 6,000 FEET"
3881,,NEW JERSEY,NEWARK,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS SIGHTING/1332E/NEWARK ATCT ADVISED, B763, LONDON, UNITED KINGDOM (EGLL) - EWR, REPORTED UAS OFF LEFT SIDE WHILE NE BOUND AT 2,000 FEET 4 SW EWR. NO EVASIVE ACTION TAKEN. PORT AUTHORITY PD NOTIFIED.",2023-05-13,EWR,NE BOUND,1332E,NEWARK ATCT,"LONDON, UNITED KINGDOM (EGLL) - EWR",4 SW EWR,"AT 2,000 FEET"
3882,,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1558E/NEW YORK TRACON ADVISED, E190, JFK - BOS, REPORTED A RED UAS AT THE 9 O'CLOCK POSITION WHILE E BOUND AT 4,200 FEET 5 SSE JFK. NO EVASIVE ACTION TAKEN. NASSAU PD AVIATION UNIT NOTIFIED.",2023-05-13,BOS,E BOUND,1558E,NEW YORK TRACON,JFK - BOS,5 SSE JFK,"AT 4,200 FEET"
3884,,TEXAS,DALLAS-FORT WORTH,"PRELIM INFO FROM FAA OPS: DALLAS-FORT WORTH, TX/UAS SIGHTING/1546C/DALLAS TRACON ADVISED, A321, LAX - DFW, REPORTED A UAS FROM THE 12 O'CLOCK POSITION WHILE N BOUND AT 4,000 FEET 13 NW DFW. NO EVASIVE ACTION REPORTED. DFW DPS NOTIFIED.",2023-05-13,LAX,N BOUND,1546C,DALLAS TRACON,LAX - DFW,13 NW DFW,"AT 4,000 FEET"
3885,,NEW JERSEY,NEWARK,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS SIGHTING/1850E/NEWARK ATCT ADVISED, B787, WARSAW, POLAND (KASW) - EWR, REPORTED A BLUE UAS FROM THE 12 O'CLOCK POSITION WHILE NE BOUND AT 1,000 FEET 3 SW EWR. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED.",2023-05-13,EWR,NE BOUND,1850E,NEWARK ATCT,"WARSAW, POLAND (KASW) - EWR",3 SW EWR,"AT 1,000 FEET"
3886,,NEW JERSEY,NEWARK,"CORRECTION INFO (ARPT IDENTIFIER) FROM FAA OPS: NEWARK, NJ/UAS SIGHTING/1850E/NEWARK ATCT ADVISED, B787, WARSAW, POLAND (EPWA) - EWR, REPORTED A BLUE UAS FROM THE 12 O'CLOCK POSITION WHILE NE BOUND AT 1,000 FEET 3 SW EWR. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED.",2023-05-13,EWR,NE BOUND,1850E,NEWARK ATCT,"WARSAW, POLAND (EPWA) - EWR",3 SW EWR,"AT 1,000 FEET"
3887,,OREGON,PORTLAND,"PRELIM INFO FROM FAA OPS: PORTLAND, OR/UAS SIGHTING/1759P/PORTLAND-HILLSBORO ATCT ADVISED, PIPER PA31, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE N BOUND AT 3,500 FEET 3.5 SSW HIO. NO EVASIVE ACTION TAKEN. 911 NOTIFIED.",2023-05-13,HIO,N BOUND,1759P,,,,"AT 3,500 FEET"
